vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,中际旭创2021年1月至2026年7月每月末市盈率TTM走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|中际旭创|300308.SZ|2022-10-31|234.52|219.11|26.74|20.06|1.98|1.99|28.85|12.17|3.05|2.54|0.37|0.74|72.2|256.2|229.74|15.7|
|中际旭创|300308.SZ|2022-10-28|233.24|217.92|26.6|22.68|1.99|2.04|28.7|11.51|3.03|2.7|0.37|0.75|106.11|254.45|228.28|15.6|
|中际旭创|300308.SZ|2022-10-27|235.24|219.79|26.82|22.87|2.01|2.06|28.94|11.61|3.06|2.73|0.37|0.74|107.02|256.46|230.28|15.74|
|中际旭创|300308.SZ|2022-10-26|229.96|214.85|26.22|22.36|1.97|2.01|28.29|11.35|2.99|2.67|0.38|0.76|104.61|251.17|225|15.37|
|中际旭创|300308.SZ|2022-10-25|222.19|207.59|25.34|21.6|1.9|1.95|27.34|10.96|2.89|2.58|0.39|0.79|101.08|243.4|217.23|14.84|
|中际旭创|300308.SZ|2022-10-24|223.55|208.86|25.49|21.73|1.91|1.96|27.5|11.03|2.9|2.59|0.39|0.78|101.7|244.76|218.59|14.94|
|中际旭创|300308.SZ|2022-10-21|225.71|210.88|25.74|21.94|1.93|1.98|27.77|11.14|2.93|2.62|0.38|0.77|102.68|246.92|220.75|15.08|
|中际旭创|300308.SZ|2022-10-20|226.35|211.48|25.81|22.01|1.94|1.98|27.85|11.17|2.94|2.62|0.38|0.77|102.97|247.57|221.39|15.13|
|中际旭创|300308.SZ|2022-10-19|226.35|211.48|25.81|22.01|1.94|1.98|27.85|11.17|2.94|2.62|0.38|0.77|102.97|247.57|221.39|15.13|
|中际旭创|300308.SZ|2022-10-18|225.95|211.11|25.76|21.97|1.93|1.98|27.8|11.15|2.94|2.62|0.38|0.77|102.79|247.16|220.99|15.1|
|中际旭创|300308.SZ|2022-10-17|223.31|208.64|25.46|21.71|1.91|1.96|27.48|11.02|2.9|2.59|0.39|0.78|101.59|244.52|218.35|14.92|
|中际旭创|300308.SZ|2022-10-14|222.03|207.44|25.32|21.59|1.9|1.94|27.32|10.96|2.89|2.57|0.39|0.79|101|243.24|217.07|14.83|
|中际旭创|300308.SZ|2022-10-13|219.06|204.67|24.98|21.3|1.87|1.92|26.95|10.81|2.85|2.54|0.39|0.8|99.66|240.28|214.1|14.63|
|中际旭创|300308.SZ|2022-10-12|218.02|203.7|24.86|21.2|1.86|1.91|26.82|10.76|2.83|2.53|0.4|0.8|99.18|239.24|213.06|14.56|
|中际旭创|300308.SZ|2022-10-11|212.66|198.68|24.25|20.67|1.82|1.86|26.16|10.49|2.76|2.46|0.41|0.82|96.74|233.87|207.7|14.19|
|中际旭创|300308.SZ|2022-10-10|203.36|190|23.19|19.77|1.74|1.77|25.02|10.03|2.64|2.36|0.42|0.86|92.52|224.58|198.41|13.56|
|中际旭创|300308.SZ|2022-09-30|208.89|195.17|23.82|20.31|1.79|1.82|25.7|10.31|2.71|2.42|0.41|0.84|95.03|230.1|203.93|13.93|
|中际旭创|300308.SZ|2022-09-29|214.66|200.56|24.48|20.87|1.84|1.87|26.41|10.59|2.79|2.49|0.4|0.81|97.65|235.87|209.7|14.33|
|中际旭创|300308.SZ|2022-09-28|215.94|201.75|24.62|20.99|1.85|1.88|26.57|10.66|2.81|2.5|0.4|0.81|98.24|237.15|210.98|14.42|
|中际旭创|300308.SZ|2022-09-27|220.75|206.24|25.17|21.46|1.89|1.93|27.16|10.89|2.87|2.56|0.39|0.79|100.42|241.96|215.79|14.74|
|中际旭创|300308.SZ|2022-09-26|214.02|199.96|24.4|20.81|1.83|1.83|26.33|10.56|2.78|2.48|0.4|0.82|97.36|235.23|209.06|14.28|
|中际旭创|300308.SZ|2022-09-23|217.06|202.8|24.75|21.1|1.86|1.86|26.71|10.71|2.82|2.52|0.4|0.8|98.75|238.27|212.1|14.49|
|中际旭创|300308.SZ|2022-09-22|215.06|200.93|24.52|20.91|1.84|1.84|26.46|10.61|2.79|2.49|0.4|0.81|97.83|236.27|210.1|14.36|
|中际旭创|300308.SZ|2022-09-21|215.62|201.45|24.59|20.96|1.84|1.84|26.53|10.64|2.8|2.5|0.4|0.81|98.09|236.83|210.66|14.39|
|中际旭创|300308.SZ|2022-09-20|215.86|201.68|24.61|20.99|1.85|1.85|26.56|10.65|2.81|2.5|0.4|0.81|98.2|237.07|210.9|14.41|
|中际旭创|300308.SZ|2022-09-19|214.9|200.78|24.5|20.89|1.84|1.83|26.44|10.6|2.79|2.49|0.4|0.81|97.76|236.11|209.94|14.35|
|中际旭创|300308.SZ|2022-09-16|210.89|197.04|24.05|20.5|1.8|1.8|25.95|10.41|2.74|2.44|0.41|0.83|95.94|232.11|205.93|14.07|
|中际旭创|300308.SZ|2022-09-15|216.26|202.05|24.66|21.02|1.85|1.84|26.61|10.67|2.81|2.51|0.4|0.81|98.38|237.47|211.3|14.44|
|中际旭创|300308.SZ|2022-09-14|229.24|214.18|26.14|22.29|1.96|1.95|28.2|11.31|2.98|2.66|0.38|0.76|104.28|250.45|224.28|15.32|
|中际旭创|300308.SZ|2022-09-13|232.44|217.17|26.5|22.6|1.99|1.98|28.6|11.47|3.02|2.69|0.37|0.75|105.74|253.65|227.48|15.54|
|中际旭创|300308.SZ|2022-09-09|234.92|219.49|26.79|22.84|2.01|2|28.9|11.59|3.05|2.72|0.37|0.74|106.87|256.14|229.96|15.71|
|中际旭创|300308.SZ|2022-09-08|234.76|219.34|26.77|22.82|2.01|2|28.88|11.58|3.05|2.72|0.37|0.74|106.8|255.98|229.8|15.7|
|中际旭创|300308.SZ|2022-09-07|238.53|222.86|27.2|23.19|2.04|2.03|29.35|11.77|3.1|2.76|0.36|0.73|108.51|259.74|233.57|15.96|
|中际旭创|300308.SZ|2022-09-06|236.84|221.28|27.01|23.03|2.03|2.02|29.14|11.69|3.08|2.74|0.36|0.74|107.75|258.06|231.89|15.84|
|中际旭创|300308.SZ|2022-09-05|234.28|218.89|26.71|22.78|2|2|28.83|11.56|3.04|2.72|0.37|0.75|106.58|255.49|229.32|15.67|
|中际旭创|300308.SZ|2022-09-02|233.74|218.36|26.65|22.72|2|2|28.76|11.53|3.04|2.71|0.37|0.75|106.33|254.96|228.78|15.63|
|中际旭创|300308.SZ|2022-09-01|229.18|214.1|26.13|22.28|1.96|1.96|28.2|11.31|2.98|2.66|0.38|0.76|104.26|250.4|224.23|15.32|
|中际旭创|300308.SZ|2022-08-31|234.46|219.03|26.74|22.79|2|2|28.85|11.57|3.05|2.72|0.37|0.74|106.66|255.67|229.5|15.68|
|中际旭创|300308.SZ|2022-08-30|239.5|223.74|27.31|23.28|2.05|2.05|29.47|11.82|3.11|2.78|0.36|0.73|108.95|260.71|234.54|16.03|
|中际旭创|300308.SZ|2022-08-29|238.94|223.22|27.25|23.23|2.04|2.04|29.4|11.79|3.1|2.77|0.36|0.73|108.7|260.15|233.98|15.99|
|中际旭创|300308.SZ|2022-08-26|240.94|225.08|27.47|23.42|2.06|2.06|29.64|11.89|3.13|2.79|0.36|0.72|109.61|262.15|235.98|16.12|
|中际旭创|300308.SZ|2022-08-25|242.46|226.5|27.65|25.22|2.07|2.13|29.83|13.15|3.15|2.92|0.36|0.72|-13243.56|266.11|238|16.26|
|中际旭创|300308.SZ|2022-08-24|246.3|230.09|28.08|25.62|2.1|2.17|30.3|13.36|3.2|2.96|0.35|0.71|-13453.22|269.95|241.83|16.52|
|中际旭创|300308.SZ|2022-08-23|262.85|245.55|29.97|27.34|2.24|2.31|32.34|14.26|3.42|3.16|0.33|0.66|-14357.38|286.51|258.39|17.66|
|中际旭创|300308.SZ|2022-08-22|264.53|247.12|30.16|27.52|2.26|2.33|32.55|14.35|3.44|3.18|0.33|0.66|-14449.11|288.19|260.07|17.77|
|中际旭创|300308.SZ|2022-08-19|267.49|249.89|30.5|27.82|2.28|2.35|32.91|14.51|3.48|3.22|0.32|0.65|-14610.72|291.14|263.03|17.97|
|中际旭创|300308.SZ|2022-08-18|275.88|257.73|31.46|28.7|2.35|2.43|33.94|14.96|3.59|3.32|0.31|0.63|-15069.36|299.54|271.42|18.55|
|中际旭创|300308.SZ|2022-08-17|268.85|251.16|30.66|27.97|2.29|2.36|33.08|14.58|3.49|3.23|0.32|0.65|-14684.98|292.5|264.39|18.07|
|中际旭创|300308.SZ|2022-08-16|266.29|248.77|30.36|27.7|2.27|2.34|32.76|14.44|3.46|3.2|0.32|0.66|-14545.2|289.94|261.83|17.89|
|中际旭创|300308.SZ|2022-08-15|269.49|251.75|30.73|28.03|2.3|2.37|33.16|14.62|3.5|3.24|0.32|0.65|-14719.92|293.14|265.03|18.11|
|中际旭创|300308.SZ|2022-08-12|272.05|254.14|31.02|28.3|2.32|2.39|33.47|14.75|3.54|3.27|0.32|0.64|-14859.69|295.7|267.58|18.28|
|中际旭创|300308.SZ|2022-08-11|280.52|262.06|31.99|29.18|2.39|2.47|34.51|15.21|3.65|3.37|0.31|0.62|-15322.7|304.18|276.06|18.86|
|中际旭创|300308.SZ|2022-08-10|254.21|237.49|28.99|26.44|2.17|2.24|31.28|13.79|3.3|3.06|0.34|0.69|-13885.65|277.87|249.75|17.07|
|中际旭创|300308.SZ|2022-08-09|261.49|244.28|29.82|27.2|2.23|2.3|32.17|14.18|3.4|3.15|0.33|0.67|-14283.13|285.15|257.03|17.56|
|中际旭创|300308.SZ|2022-08-08|265.49|248.02|30.27|27.62|2.26|2.33|32.66|14.4|3.45|3.19|0.33|0.66|-14501.52|289.15|261.03|17.84|
|中际旭创|300308.SZ|2022-08-05|270.29|252.5|30.82|28.12|2.3|2.38|33.26|14.66|3.51|3.25|0.32|0.65|-14763.6|293.94|265.82|18.16|
|中际旭创|300308.SZ|2022-08-04|259.25|242.19|29.56|26.97|2.21|2.28|31.9|14.06|3.37|3.12|0.33|0.67|-14160.83|282.91|254.79|17.41|
|中际旭创|300308.SZ|2022-08-03|260.29|243.16|29.68|27.08|2.22|2.29|32.03|14.12|3.38|3.13|0.33|0.67|-14217.61|283.95|255.83|17.48|
|中际旭创|300308.SZ|2022-08-02|259.09|242.04|29.54|26.95|2.21|2.28|31.88|14.05|3.37|3.12|0.33|0.67|-14152.09|282.75|254.63|17.4|
|中际旭创|300308.SZ|2022-08-01|263.73|246.37|30.07|27.43|2.25|2.32|32.45|14.3|3.43|3.17|0.33|0.66|-14405.43|287.39|259.27|17.72|
|中际旭创|300308.SZ|2022-07-29|262.21|244.96|29.9|27.28|2.24|2.31|32.26|14.22|3.41|3.15|0.33|0.67|-14322.44|285.87|257.75|17.61|
|中际旭创|300308.SZ|2022-07-28|267.49|249.89|30.5|27.82|2.28|2.35|32.91|14.51|3.48|3.22|0.32|0.65|-14610.72|291.14|263.03|17.97|
|中际旭创|300308.SZ|2022-07-27|271.25|253.4|30.93|28.22|2.31|2.39|33.37|14.71|3.52|3.26|0.32|0.64|-14816.02|294.9|266.78|18.23|
|中际旭创|300308.SZ|2022-07-26|268.85|251.16|30.66|27.97|2.29|2.36|33.08|14.58|3.49|3.23|0.32|0.65|-14684.98|292.5|264.39|18.07|
|中际旭创|300308.SZ|2022-07-25|274.12|256.09|31.26|28.52|2.34|2.41|33.73|14.87|3.56|3.3|0.31|0.64|-14973.26|297.78|269.66|18.43|
|中际旭创|300308.SZ|2022-07-22|266.77|249.21|30.42|27.75|2.27|2.35|32.82|14.47|3.47|3.21|0.32|0.65|-14571.41|290.42|262.31|17.92|
|中际旭创|300308.SZ|2022-07-21|263.25|245.93|30.02|27.38|2.24|2.32|32.39|14.28|3.42|3.17|0.33|0.66|-14379.22|286.91|258.79|17.68|
|中际旭创|300308.SZ|2022-07-20|272.45|254.52|31.07|28.34|2.32|2.4|33.52|14.78|3.54|3.28|0.32|0.64|-14881.53|296.1|267.98|18.31|
|中际旭创|300308.SZ|2022-07-19|266.21|248.69|30.36|27.69|2.27|2.34|32.75|14.44|3.46|3.2|0.32|0.66|-14540.84|289.86|261.75|17.89|
|中际旭创|300308.SZ|2022-07-18|256.69|239.8|29.27|26.7|2.19|2.26|31.58|13.92|3.34|3.09|0.34|0.68|-14021.05|280.35|252.23|17.23|
|中际旭创|300308.SZ|2022-07-15|233.74|218.36|26.65|24.31|1.99|2.06|28.76|12.68|3.04|2.81|0.37|0.75|-12767.46|257.4|229.28|15.67|
|中际旭创|300308.SZ|2022-07-14|235.9|220.38|26.9|24.54|2.01|2.07|29.02|12.79|3.07|2.84|0.37|0.74|-12885.39|259.56|231.44|15.81|
|中际旭创|300308.SZ|2022-07-13|230.06|214.92|26.23|23.93|1.96|2.02|28.31|12.48|2.99|2.77|0.38|0.76|-12566.53|253.72|225.6|15.42|
|中际旭创|300308.SZ|2022-07-12|233.34|217.99|26.61|24.27|1.99|2.05|28.71|12.66|3.03|2.81|0.37|0.75|-12745.62|257|228.88|15.64|
|中际旭创|300308.SZ|2022-07-11|240.54|224.71|27.43|25.02|2.05|2.12|29.6|13.05|3.13|2.89|0.36|0.73|-13138.73|264.2|236.08|16.13|
|中际旭创|300308.SZ|2022-07-08|239.98|224.19|27.36|24.96|2.05|2.11|29.53|13.02|3.12|2.89|0.36|0.73|-13108.16|263.64|235.52|16.09|
|中际旭创|300308.SZ|2022-07-07|241.1|225.23|27.49|25.08|2.06|2.12|29.66|13.08|3.13|2.9|0.36|0.72|-13169.31|264.76|236.64|16.17|
|中际旭创|300308.SZ|2022-07-06|242.3|226.35|27.63|25.2|2.07|2.13|29.81|13.14|3.15|2.91|0.36|0.72|-13234.83|265.95|237.84|16.25|
|中际旭创|300308.SZ|2022-07-05|245.82|229.64|28.03|25.57|2.1|2.16|30.24|13.33|3.19|2.96|0.35|0.71|-13427.01|269.47|241.36|16.49|
|中际旭创|300308.SZ|2022-07-04|244.86|228.74|27.92|25.47|2.09|2.15|30.13|13.28|3.18|2.95|0.35|0.71|-13374.6|268.51|240.4|16.43|
|中际旭创|300308.SZ|2022-07-01|247.9|231.58|28.27|25.79|2.11|2.18|30.5|13.44|3.22|2.98|0.35|0.7|-13540.58|271.55|243.43|16.63|
|中际旭创|300308.SZ|2022-06-30|248.3|231.96|28.31|25.83|2.12|2.18|30.55|13.47|3.23|2.99|0.35|0.7|-13562.42|271.95|243.83|16.66|
|中际旭创|300308.SZ|2022-06-29|249.26|232.85|28.42|25.93|2.13|2.19|30.67|13.52|3.24|3|0.35|0.7|-13614.84|272.91|244.79|16.73|
|中际旭创|300308.SZ|2022-06-28|256.29|239.43|29.22|26.66|2.19|2.25|31.53|13.9|3.33|3.08|0.34|0.68|-13999.21|279.95|251.83|17.21|
|中际旭创|300308.SZ|2022-06-27|247.9|231.58|28.27|25.79|2.11|2.18|30.5|13.44|3.22|2.98|0.35|0.7|-13540.58|271.55|243.43|16.63|
|中际旭创|300308.SZ|2022-06-24|243.9|227.85|27.81|25.37|2.08|2.15|30.01|13.23|3.17|2.93|0.35|0.72|-13322.18|267.55|239.44|16.36|
|中际旭创|300308.SZ|2022-06-23|247.26|230.99|28.19|25.72|2.11|2.17|30.42|13.41|3.21|2.97|0.35|0.71|-13505.64|270.91|242.79|16.59|
|中际旭创|300308.SZ|2022-06-22|243.02|227.03|27.71|25.28|2.07|2.14|29.9|13.18|3.16|2.92|0.35|0.72|-13274.14|266.67|238.56|16.3|
|中际旭创|300308.SZ|2022-06-21|255.65|238.83|29.15|26.59|2.18|2.25|31.45|13.87|3.32|3.08|0.34|0.68|-13964.27|279.31|251.19|17.16|
|中际旭创|300308.SZ|2022-06-20|258.85|241.82|29.52|26.93|2.21|2.28|31.85|14.04|3.36|3.11|0.33|0.67|-14138.99|282.51|254.39|17.38|
|中际旭创|300308.SZ|2022-06-17|260.53|243.39|29.71|27.1|2.22|2.29|32.05|14.13|3.39|3.13|0.33|0.67|-14230.71|284.19|256.07|17.5|
|中际旭创|300308.SZ|2022-06-16|260.13|243.01|29.66|27.06|2.22|2.29|32.01|14.11|3.38|3.13|0.33|0.67|-14208.87|283.79|255.67|17.47|
|中际旭创|300308.SZ|2022-06-15|257.65|240.7|29.38|26.8|2.2|2.27|31.7|13.97|3.35|3.1|0.33|0.68|-14073.47|281.31|253.19|17.3|
|中际旭创|300308.SZ|2022-06-14|258.45|241.44|29.47|26.89|2.2|2.27|31.8|14.02|3.36|3.11|0.33|0.68|-14117.15|282.11|253.99|17.36|
|中际旭创|300308.SZ|2022-06-13|262.29|245.03|29.91|27.28|2.24|2.31|32.27|14.23|3.41|3.16|0.33|0.67|-14326.81|285.95|257.83|17.62|
|中际旭创|300308.SZ|2022-06-10|267.73|250.11|30.53|27.85|2.28|2.35|32.94|14.52|3.48|3.22|0.32|0.65|-14623.83|291.38|263.27|17.99|
|中际旭创|300308.SZ|2022-06-09|261.33|244.13|29.8|27.18|2.23|2.3|32.15|14.17|3.4|3.14|0.33|0.67|-14274.39|284.99|256.87|17.55|
|中际旭创|300308.SZ|2022-06-08|270.05|252.28|30.79|28.09|2.3|2.38|33.23|14.65|3.51|3.25|0.32|0.65|-14750.5|293.7|265.58|18.15|
|中际旭创|300308.SZ|2022-06-07|271.89|253.99|31|28.28|2.32|2.39|33.45|14.75|3.53|3.27|0.32|0.64|-14850.96|295.54|267.42|18.27|
|中际旭创|300308.SZ|2022-06-06|267.81|250.18|30.54|27.86|2.28|2.36|32.95|14.52|3.48|3.22|0.32|0.65|-14628.19|291.46|263.35|17.99|
|中际旭创|300308.SZ|2022-06-02|265.25|247.79|30.25|27.59|2.26|2.33|32.64|14.39|3.45|3.19|0.33|0.66|-14488.42|288.91|260.79|17.82|
|中际旭创|300308.SZ|2022-06-01|257.49|240.55|29.36|26.79|2.2|2.26|31.68|13.97|3.35|3.1|0.34|0.68|-14064.73|281.15|253.03|17.29|
|中际旭创|300308.SZ|2022-05-31|257.01|240.1|29.31|26.74|2.19|2.26|31.62|13.94|3.34|3.09|0.34|0.68|-14038.52|280.67|252.55|17.26|
|中际旭创|300308.SZ|2022-05-30|254.13|237.41|28.98|26.44|2.17|2.23|31.27|13.78|3.3|3.06|0.34|0.69|-13881.28|277.79|249.67|17.06|
|中际旭创|300308.SZ|2022-05-27|241.74|225.83|27.57|25.15|2.06|2.13|29.74|13.11|3.14|2.91|0.36|0.72|-13204.25|265.4|237.28|16.21|
|中际旭创|300308.SZ|2022-05-26|246.78|230.54|28.14|25.67|2.1|2.17|30.36|13.38|3.21|2.97|0.35|0.71|-13479.43|270.43|242.31|16.56|
|中际旭创|300308.SZ|2022-05-25|241.9|225.98|27.58|25.16|2.06|2.09|29.76|13.12|3.14|2.91|0.36|0.36|-13212.99|265.56|237.44|16.22|
|中际旭创|300308.SZ|2022-05-24|239.1|223.37|27.26|24.87|2.04|2.07|29.42|12.97|3.11|2.88|0.36|0.36|-13060.11|262.76|234.64|16.03|
|中际旭创|300308.SZ|2022-05-23|251.73|235.17|28.7|26.19|2.15|2.18|30.97|13.65|3.27|3.03|0.34|0.34|-13750.24|275.39|247.27|16.9|
|中际旭创|300308.SZ|2022-05-20|250.61|234.12|28.58|26.07|2.14|2.17|30.84|13.59|3.26|3.02|0.34|0.34|-13689.09|274.27|246.15|16.82|
|中际旭创|300308.SZ|2022-05-19|249.34|232.93|28.43|25.94|2.13|2.16|30.68|13.52|3.24|3|0.35|0.35|-13619.2|272.99|244.87|16.73|
|中际旭创|300308.SZ|2022-05-18|251.25|234.72|28.65|26.14|2.14|2.18|30.91|13.63|3.27|3.02|0.34|0.34|-13724.03|274.91|246.79|16.86|
|中际旭创|300308.SZ|2022-05-17|254.77|238.01|29.05|26.5|2.17|2.21|31.35|13.82|3.31|3.06|0.34|0.34|-13916.22|278.43|250.31|17.1|
|中际旭创|300308.SZ|2022-05-16|253.89|237.19|28.95|26.41|2.17|2.2|31.24|13.77|3.3|3.05|0.34|0.34|-13868.17|277.55|249.43|17.04|
|中际旭创|300308.SZ|2022-05-13|253.65|236.96|28.92|26.39|2.16|2.2|31.21|13.76|3.3|3.05|0.34|0.34|-13855.07|277.31|249.19|17.03|
|中际旭创|300308.SZ|2022-05-12|251.73|235.17|28.7|26.19|2.15|2.18|30.97|13.65|3.27|3.03|0.34|0.34|-13750.24|275.39|247.27|16.9|
|中际旭创|300308.SZ|2022-05-11|252.05|235.47|28.74|26.22|2.15|2.18|31.01|13.67|3.28|3.03|0.34|0.34|-13767.71|275.71|247.59|16.92|
|中际旭创|300308.SZ|2022-05-10|255.17|238.38|29.1|26.54|2.18|2.21|31.4|13.84|3.32|3.07|0.34|0.34|-13938.06|278.83|250.71|17.13|
|中际旭创|300308.SZ|2022-05-09|259.41|242.34|29.58|26.98|2.21|2.25|31.92|14.07|3.37|3.12|0.33|0.33|-14169.56|283.07|254.95|17.42|
|中际旭创|300308.SZ|2022-05-06|255.49|238.68|29.13|26.58|2.18|2.19|31.44|13.86|3.32|3.07|0.34|0.34|-13955.53|279.15|251.03|17.15|
|中际旭创|300308.SZ|2022-05-05|255.17|238.38|29.1|26.54|2.18|2.18|31.4|13.84|3.32|3.07|0.34|0.34|-13938.06|278.83|250.71|17.13|
|中际旭创|300308.SZ|2022-04-29|244.86|202.08|27.92|25.47|2.09|2.1|30.13|13.28|3.18|2.95|0.35|0.35|-13374.6|268.51|240.4|16.43|
|中际旭创|300308.SZ|2022-04-28|238.3|196.67|27.17|24.79|2.03|2.04|29.32|12.92|3.1|2.87|0.36|0.36|-13016.43|261.96|233.84|15.98|
|中际旭创|300308.SZ|2022-04-27|246.7|203.6|28.13|25.66|2.1|2.11|30.35|13.38|3.21|2.97|0.35|0.35|-13475.06|270.35|242.23|16.55|
|中际旭创|300308.SZ|2022-04-26|239.34|197.53|27.29|24.9|2.04|2.05|29.45|12.98|3.11|2.88|0.36|0.36|-13073.21|263|234.88|16.05|
|中际旭创|300308.SZ|2022-04-25|232.22|191.65|26.48|24.16|1.98|1.99|28.57|12.59|3.02|2.79|0.37|0.37|-12684.47|255.88|227.76|15.56|
|中际旭创|300308.SZ|2022-04-22|230.06|189.87|26.58|26.3|2.69|2.01|1060.78|45.03|3.26|2.99|0.38|0.38|-448.52|263.18|250.76|18.18|
|中际旭创|300308.SZ|2022-04-21|235.98|194.76|27.27|26.98|2.76|2.06|1088.06|46.19|3.35|3.07|0.37|0.37|-460.05|269.1|256.68|18.61|
|中际旭创|300308.SZ|2022-04-20|239.34|197.53|27.65|27.36|2.8|2.09|1103.55|46.85|3.4|3.11|0.36|0.36|-466.6|272.46|260.04|18.85|
|中际旭创|300308.SZ|2022-04-19|241.02|198.91|27.85|27.55|2.82|2.11|1111.29|47.18|3.42|3.13|0.36|0.36|-469.87|274.14|261.72|18.98|
|中际旭创|300308.SZ|2022-04-18|240.22|198.25|27.76|27.46|2.81|2.1|1107.6|47.02|3.41|3.12|0.36|0.36|-468.31|273.34|260.92|18.92|
|中际旭创|300308.SZ|2022-04-15|233.5|192.71|26.98|26.69|2.73|2.04|1076.63|45.7|3.31|3.03|0.37|0.37|-455.22|266.62|254.2|18.43|
|中际旭创|300308.SZ|2022-04-14|236.86|195.48|27.37|27.08|2.77|2.07|1092.12|46.36|3.36|3.08|0.36|0.36|-461.77|269.98|257.56|18.67|
|中际旭创|300308.SZ|2022-04-13|235.02|193.96|27.15|26.87|2.75|2.06|1083.64|46|3.33|3.05|0.37|0.37|-458.18|268.14|255.72|18.54|
|中际旭创|300308.SZ|2022-04-12|239.9|197.99|27.72|27.43|2.81|2.1|1106.13|46.96|3.4|3.12|0.36|0.36|-467.69|273.02|260.6|18.89|
|中际旭创|300308.SZ|2022-04-11|237.5|196.01|27.44|27.15|2.78|2.08|1095.07|46.49|3.37|3.09|0.36|0.36|-463.01|270.62|258.2|18.72|
|中际旭创|300308.SZ|2022-04-08|247.1|203.93|28.55|28.25|2.89|2.15|1139.31|48.37|3.51|3.21|0.35|0.35|-481.72|280.22|267.8|19.42|
|中际旭创|300308.SZ|2022-04-07|240.86|198.78|27.83|27.54|2.82|2.1|1110.55|47.14|3.42|3.13|0.36|0.36|-469.56|273.98|261.56|18.96|
|中际旭创|300308.SZ|2022-04-06|240.7|198.65|27.81|27.52|2.82|2.1|1109.81|47.11|3.41|3.13|0.36|0.36|-469.25|273.82|261.4|18.95|
|中际旭创|300308.SZ|2022-04-01|253.33|209.08|29.27|28.96|2.96|2.21|1168.07|49.59|3.59|3.29|0.34|0.34|-493.88|286.45|274.03|19.87|
|中际旭创|300308.SZ|2022-03-31|252.77|208.61|29.21|28.9|2.96|2.2|1165.49|49.48|3.59|3.28|0.34|0.34|-492.79|285.89|273.47|19.83|
|中际旭创|300308.SZ|2022-03-30|256.77|211.91|29.67|29.36|3|2.24|1183.93|50.26|3.64|3.34|0.34|0.34|-500.59|289.89|277.47|20.12|
|中际旭创|300308.SZ|2022-03-29|248.7|205.25|28.73|28.43|2.91|2.17|1146.69|48.68|3.53|3.23|0.35|0.35|-484.84|281.81|269.4|19.53|
|中际旭创|300308.SZ|2022-03-28|255.89|211.19|29.57|29.25|2.99|2.23|1179.87|50.09|3.63|3.33|0.34|0.34|-498.87|289.01|276.59|20.05|
|中际旭创|300308.SZ|2022-03-25|257.49|212.51|29.75|29.44|3.01|2.24|1187.24|50.4|3.65|3.35|0.34|0.34|-501.99|290.61|278.19|20.17|
|中际旭创|300308.SZ|2022-03-24|269.49|222.41|31.14|30.81|3.15|2.35|1242.55|52.75|3.82|3.5|0.32|0.32|-525.37|302.61|290.19|21.04|
|中际旭创|300308.SZ|2022-03-23|274.92|226.9|31.77|31.43|3.22|2.39|1267.62|53.81|3.9|3.57|0.31|0.31|-535.97|308.04|295.63|21.43|
|中际旭创|300308.SZ|2022-03-22|264.21|218.05|30.53|30.21|3.09|2.3|1218.22|51.71|3.75|3.43|0.33|0.33|-515.08|297.33|284.91|20.66|
|中际旭创|300308.SZ|2022-03-21|270.13|222.94|31.21|30.88|3.16|2.35|1245.5|52.87|3.83|3.51|0.32|0.32|-526.62|303.25|290.83|21.09|
|中际旭创|300308.SZ|2022-03-18|265.73|219.31|30.7|30.38|3.11|2.31|1225.22|52.01|3.77|3.45|0.32|0.32|-518.05|298.85|286.43|20.77|
|中际旭创|300308.SZ|2022-03-17|266.61|220.03|30.8|30.48|3.12|2.32|1229.28|52.18|3.78|3.46|0.32|0.32|-519.76|299.73|287.31|20.83|
|中际旭创|300308.SZ|2022-03-16|261.49|215.81|30.21|29.89|3.06|2.28|1205.68|51.18|3.71|3.4|0.33|0.33|-509.78|294.61|282.19|20.46|
|中际旭创|300308.SZ|2022-03-15|256.93|212.05|29.69|29.37|3.01|2.24|1184.66|50.29|3.64|3.34|0.34|0.34|-500.9|290.05|277.63|20.13|
|中际旭创|300308.SZ|2022-03-14|275.88|227.69|31.88|31.54|3.23|2.4|1272.05|54|3.91|3.59|0.31|0.31|-537.84|309|296.58|21.5|
|中际旭创|300308.SZ|2022-03-11|283|233.56|32.7|32.35|3.31|2.47|1304.86|55.39|4.01|3.68|0.3|0.3|-551.72|316.12|303.7|22.02|
|中际旭创|300308.SZ|2022-03-10|282.76|233.36|32.67|32.33|3.31|2.46|1303.76|55.35|4.01|3.67|0.31|0.31|-551.25|315.88|303.46|22|
|中际旭创|300308.SZ|2022-03-09|283.88|234.29|32.8|32.45|3.32|2.47|1308.92|55.57|4.03|3.69|0.3|0.3|-553.43|317|304.58|22.08|
