vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,澜起科技2017年1月至2026年7月市盈率TTM历史走势,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|澜起科技|688008.SH|2026-07-17|2240.91|2101.79|100.24|87.62|10.75|10.75|110.83|91.08|41.07|39.35||0.11|266.38|2269.86|2123.63|95.57|
|澜起科技|688008.SH|2026-07-16|2576.92|2416.94|115.27|100.75|12.36|12.36|127.44|104.74|47.23|45.25||0.09|306.32|2600.48|2454.24|110.45|
|澜起科技|688008.SH|2026-07-15|3084.06|2892.59|137.95|120.58|14.79|14.79|152.52|125.35|56.52|54.16||0.08|366.61|3130.65|2984.42|134.31|
|澜起科技|688008.SH|2026-07-14|3295.45|3090.86|147.41|128.85|15.81|15.81|162.98|133.94|60.4|57.87||0.07|391.74|3327.36|3181.12|143.16|
|澜起科技|688008.SH|2026-07-13|3085.4|2893.85|138.01|120.64|14.8|14.8|152.59|125.4|56.55|54.18||0.08|366.77|3112.73|2966.49|133.5|
|澜起科技|688008.SH|2026-07-10|3271.77|3068.66|146.35|127.92|15.7|15.7|161.81|132.98|59.96|57.45||0.07|388.92|3299.65|3153.41|141.92|
|澜起科技|688008.SH|2026-07-09|3488.3|3271.74|156.04|136.39|16.73|16.73|172.52|141.78|63.93|61.25||0.07|414.66|3524.79|3378.56|152.05|
|澜起科技|688008.SH|2026-07-08|3016.56|2829.29|134.93|117.94|14.47|14.47|149.19|122.6|55.29|52.97||0.08|358.58|3041.34|2895.1|130.29|
|澜起科技|688008.SH|2026-07-07|3094.61|2902.75|138.43|121|14.85|14.85|153.05|125.78|56.72|54.34||0.08|367.86|3122.76|2976.52|133.96|
|澜起科技|688008.SH|2026-07-06|3283.81|3080.22|146.89|128.39|15.75|15.75|162.4|133.47|60.18|57.66||0.07|390.35|3325.49|3179.25|143.08|
|澜起科技|688008.SH|2026-07-03|3260.83|3058.67|145.86|127.49|15.64|15.64|161.27|132.53|59.76|57.26||0.07|387.62|3310.83|3164.59|142.42|
|澜起科技|688008.SH|2026-07-02|3289.55|3085.61|147.15|128.62|15.78|15.78|162.69|133.7|60.29|57.76||0.07|391.04|3341.73|3195.49|143.81|
|澜起科技|688008.SH|2026-07-01|3860.81|3621.45|172.7|150.95|18.52|18.52|190.94|156.92|70.76|67.8||0.06|458.94|3927.87|3781.63|170.19|
|澜起科技|688008.SH|2026-06-30|3787.6|3552.78|169.42|148.09|18.17|18.17|187.32|153.94|69.42|66.51||0.06|450.24|3859.2|3712.96|167.1|
|澜起科技|688008.SH|2026-06-29|3618.45|3394.11|161.86|141.48|17.36|17.36|178.95|147.07|66.32|63.54||0.07|430.13|3689.56|3543.32|159.46|
|澜起科技|688008.SH|2026-06-26|3199.96|3001.57|143.14|125.11|15.35|15.35|158.26|130.06|58.65|56.19||0.08|380.39|3278.79|3132.55|140.98|
|澜起科技|688008.SH|2026-06-25|3411.89|3200.36|152.62|133.4|16.37|16.37|168.74|138.67|62.53|59.91||0.07|405.58|3503.65|3357.41|151.1|
|澜起科技|688008.SH|2026-06-24|3257.04|3055.11|145.69|127.35|15.62|15.62|161.08|132.38|59.69|57.19||0.07|387.17|3339.28|3193.05|143.7|
|澜起科技|688008.SH|2026-06-23|3153.28|2957.78|141.05|123.29|15.13|15.13|155.95|128.16|57.79|55.37||0.08|374.84|3227.39|3081.15|138.66|
|澜起科技|688008.SH|2026-06-22|3422.77|3210.57|153.11|133.83|16.42|16.42|169.27|139.11|62.73|60.1||0.07|406.87|3518.39|3372.16|151.76|
|澜起科技|688008.SH|2026-06-18|3298.72|3094.21|147.56|128.98|15.82|15.82|163.14|134.07|60.46|57.92||0.07|392.13|3388.96|3242.72|145.94|
|澜起科技|688008.SH|2026-06-17|3208.28|3009.37|143.51|125.44|15.39|15.39|158.67|130.4|58.8|56.34||0.08|381.37|3287.12|3140.88|141.35|
|澜起科技|688008.SH|2026-06-16|2984.25|2799.23|133.49|116.68|14.32|14.32|147.59|121.29|54.69|52.4||0.08|354.74|3049.14|2902.9|130.64|
|澜起科技|688008.SH|2026-06-15|2934.5|2752.57|131.26|114.74|14.08|14.08|145.13|119.27|53.78|51.53||0.08|348.83|3006.46|2860.22|128.72|
|澜起科技|688008.SH|2026-06-12|2748.48|2578.08|122.94|107.46|13.18|13.18|135.93|111.71|50.37|48.26||0.09|326.72|2812.56|2666.33|120|
|澜起科技|688008.SH|2026-06-11|2795.17|2621.88|125.03|109.29|13.41|13.41|138.24|113.61|51.23|49.08||0.09|332.27|2863.08|2716.84|122.27|
|澜起科技|688008.SH|2026-06-10|2823.28|2648.25|126.29|110.39|13.54|13.54|139.63|114.75|51.74|49.58||0.09|335.61|2876.29|2730.06|122.86|
|澜起科技|688008.SH|2026-06-09|2889.28|2710.15|129.24|112.97|13.86|13.86|142.89|117.43|52.95|50.74||0.08|343.45|2948.27|2802.04|126.1|
|澜起科技|688008.SH|2026-06-08|2741.52|2571.55|122.63|107.19|13.15|13.15|135.58|111.43|50.24|48.14||0.09|325.89|2801.35|2655.11|119.49|
|澜起科技|688008.SH|2026-06-05|2925.82|2744.43|130.88|114.4|14.04|14.04|144.7|118.92|53.62|51.38||0.08|347.8|2988.22|2841.98|127.9|
|澜起科技|688008.SH|2026-06-04|3173.69|2976.93|141.96|124.09|15.22|15.22|156.96|128.99|58.17|55.73||0.08|377.26|3245.46|3099.22|139.48|
|澜起科技|688008.SH|2026-06-03|3103.17|2910.78|138.81|121.33|14.89|14.89|153.47|126.12|56.87|54.49||0.08|368.88|3177.1|3030.86|136.4|
|澜起科技|688008.SH|2026-06-02|2896.61|2717.03|129.57|113.25|13.9|13.9|143.25|117.73|53.09|50.86||0.08|344.33|2968.32|2822.08|127|
|澜起科技|688008.SH|2026-06-01|2839.17|2663.15|127|111.01|13.62|13.62|140.41|115.39|52.03|49.86||0.09|337.5|2909.26|2763.02|124.35|
|澜起科技|688008.SH|2026-05-29|3092.17|2900.46|138.32|120.9|14.83|14.83|152.92|125.68|56.67|54.3||0.23|367.57|3164.89|3018.65|135.85|
|澜起科技|688008.SH|2026-05-28|3189.7|2991.94|142.68|124.71|15.3|15.3|157.75|129.64|58.46|56.01||0.22|379.17|3295.45|3149.21|141.73|
|澜起科技|688008.SH|2026-05-27|3244.94|3043.76|145.15|126.87|15.57|15.57|160.48|131.89|59.47|56.98||0.22|385.73|3354.13|3207.89|144.37|
|澜起科技|688008.SH|2026-05-26|3327.93|3121.6|148.86|130.12|15.96|15.96|164.58|135.26|60.99|58.44||0.21|395.6|3427.36|3281.13|147.66|
|澜起科技|688008.SH|2026-05-25|3472.03|3256.77|155.31|135.75|16.66|16.66|171.71|141.12|63.63|60.97||0.21|412.73|3569.38|3423.14|154.06|
|澜起科技|688008.SH|2026-05-22|3322.31|3116.33|148.61|129.9|15.94|15.94|164.31|135.03|60.89|58.34||0.21|394.93|3428.94|3282.7|147.73|
|澜起科技|688008.SH|2026-05-21|3204.24|3005.59|143.33|125.28|15.37|15.37|158.47|130.23|58.73|56.27||0.22|380.9|3301.29|3155.05|141.99|
|澜起科技|688008.SH|2026-05-20|3144.72|2949.76|140.67|122.95|15.09|15.09|155.52|127.81|57.63|55.22||0.23|373.82|3245.99|3099.75|139.5|
|澜起科技|688008.SH|2026-05-19|3020.18|2832.93|135.1|118.09|14.49|14.49|149.36|122.75|55.35|53.03||0.24|359.02|3113.86|2967.62|133.55|
|澜起科技|688008.SH|2026-05-18|3030.93|2843.02|135.58|118.51|14.54|14.54|149.9|123.19|55.55|53.22||0.24|360.29|3135.63|2989.39|134.53|
|澜起科技|688008.SH|2026-05-15|3030.81|2842.91|135.57|118.5|14.54|14.54|149.89|123.18|55.55|53.22||0.24|360.28|3140.46|2994.22|134.75|
|澜起科技|688008.SH|2026-05-14|3239.81|3038.95|144.92|126.67|15.54|15.54|160.23|131.68|59.38|56.89||0.22|385.12|3358.94|3212.7|144.58|
|澜起科技|688008.SH|2026-05-13|3163.05|2966.95|141.49|123.67|15.17|15.17|156.43|128.56|57.97|55.54||0.23|376|3299.43|3153.19|141.91|
|澜起科技|688008.SH|2026-05-12|2941.84|2759.45|131.59|115.02|14.11|14.11|145.49|119.57|53.92|51.66||0.24|349.7|3033.59|2887.36|129.94|
|澜起科技|688008.SH|2026-05-11|3045.97|2857.12|136.25|119.09|14.61|14.61|150.64|123.8|55.82|53.49||0.23|362.08|3135.22|2988.98|134.52|
|澜起科技|688008.SH|2026-05-08|2569.92|2410.59|114.96|100.48|12.33|12.33|127.1|104.45|47.1|45.13||0.28|305.49|2660.17|2513.93|113.14|
|澜起科技|688008.SH|2026-05-07|2565.52|2406.46|114.76|100.31|12.31|12.31|126.88|104.27|47.02|45.05||0.28|304.97|2643.98|2497.74|112.41|
|澜起科技|688008.SH|2026-05-06|2431.93|2281.16|108.78|95.09|11.67|11.67|120.27|98.84|44.57|42.7||0.29|289.09|2495.05|2348.81|105.71|
|澜起科技|688008.SH|2026-04-30|2118.07|1986.76|94.74|82.81|10.16|10.16|104.75|86.09|38.82|37.19||0.34|251.78|2161.15|2014.91|90.68|
|澜起科技|688008.SH|2026-04-29|2076.52|1947.78|92.89|81.19|9.96|9.96|102.7|84.4|38.06|36.46||0.34|246.84|2117.49|1971.25|88.71|
|澜起科技|688008.SH|2026-04-28|2121.86|1990.31|94.91|82.96|10.18|10.18|104.94|86.24|38.89|37.26||0.34|252.23|2166.56|2020.32|90.92|
|澜起科技|688008.SH|2026-04-27|2176.62|2041.67|97.36|97.36|16.84|11.42|107.65|107.65|39.89|39.89||0.33|502.03|2213.74|2128.95|95.81|
|澜起科技|688008.SH|2026-04-24|1998.3|1874.41|89.39|89.39|15.46|10.48|98.83|98.83|36.62|36.62||0.36|460.9|2025.88|1941.09|87.36|
|澜起科技|688008.SH|2026-04-23|1951.85|1830.84|87.31|87.31|15.1|10.24|96.53|96.53|35.77|35.77||0.37|450.19|1983.48|1898.69|85.45|
|澜起科技|688008.SH|2026-04-22|1996.46|1872.69|89.3|89.3|15.45|10.47|98.74|98.74|36.59|36.59||0.36|460.48|2021.85|1937.06|87.18|
|澜起科技|688008.SH|2026-04-21|1935.96|1815.94|86.6|86.6|14.98|10.15|95.74|95.74|35.48|35.48||0.37|446.53|1953.6|1868.81|84.1|
|澜起科技|688008.SH|2026-04-20|1890.25|1773.06|84.55|84.55|14.63|9.91|93.48|93.48|34.64|34.64||0.38|435.98|1909.38|1824.59|82.11|
|澜起科技|688008.SH|2026-04-17|1842.83|1728.58|82.43|82.43|14.26|9.66|91.14|91.14|33.77|33.77||0.39|425.04|1867.88|1783.09|80.25|
|澜起科技|688008.SH|2026-04-16|1845.52|1731.1|82.55|82.55|14.28|9.68|91.27|91.27|33.82|33.82||0.39|425.66|1876.4|1791.61|80.63|
|澜起科技|688008.SH|2026-04-15|1798.83|1687.31|80.46|80.46|13.92|9.43|88.96|88.96|32.97|32.97||0.4|414.9|1821.71|1736.92|78.17|
|澜起科技|688008.SH|2026-04-14|1874.37|1758.16|83.84|83.84|14.5|9.83|92.7|92.7|34.35|34.35||0.38|432.32|1897.53|1812.74|81.58|
|澜起科技|688008.SH|2026-04-13|1861.41|1746.01|83.26|83.26|14.4|9.76|92.06|92.06|34.11|34.11||0.38|429.33|1887.61|1802.82|81.13|
|澜起科技|688008.SH|2026-04-10|1754.22|1645.47|78.47|78.47|13.57|9.2|86.76|86.76|32.15|32.15||0.41|404.61|1778.03|1693.24|76.2|
|澜起科技|688008.SH|2026-04-09|1700.94|1595.48|76.09|76.09|13.16|8.92|84.12|84.12|31.17|31.17||0.42|392.32|1725.01|1640.22|73.82|
|澜起科技|688008.SH|2026-04-08|1701.42|1595.94|76.11|76.11|13.17|8.92|84.14|84.14|31.18|31.18||0.42|392.43|1728.92|1644.13|73.99|
|澜起科技|688008.SH|2026-04-07|1563.19|1466.28|69.92|69.92|12.1|8.2|77.31|77.31|28.65|28.65||0.46|360.55|1582.95|1498.16|67.42|
|澜起科技|688008.SH|2026-04-03|1555.37|1458.94|69.57|69.57|12.04|8.16|76.92|76.92|28.51|28.51||0.46|358.74|1575.62|1490.83|67.09|
|澜起科技|688008.SH|2026-04-02|1576.64|1478.89|70.53|70.53|12.2|8.27|77.97|77.97|28.9|28.9||0.45|363.65|1595.56|1510.77|67.99|
|澜起科技|688008.SH|2026-04-01|1588.49|1490.01|71.06|71.06|12.29|8.33|78.56|78.56|29.11|29.11||0.45|366.38|1604.27|1519.48|68.38|
|澜起科技|688008.SH|2026-03-31|1531.17|1436.24|68.49|68.49|11.85|8.03|75.72|75.72|28.06|28.06||0.47|353.16|1539.42|1454.63|65.46|
|澜起科技|688008.SH|2026-03-30|1613.3|1513.28|114.27|72.17|13.16|8.46|95.39|79.42|44.33|29.57||0.44|372.1|1624.01|1535.02|115.86|
|澜起科技|688008.SH|2026-03-27|1651.19|1548.82|116.96|73.86|13.47|8.66|97.63|81.29|45.38|30.26||0.43|380.84|1667.69|1578.7|119.15|
|澜起科技|688008.SH|2026-03-26|1674.29|1570.49|118.59|74.89|13.66|8.78|98.99|82.43|46.01|30.69||0.43|386.17|1691.83|1602.84|120.98|
|澜起科技|688008.SH|2026-03-25|1735.52|1627.93|122.93|77.63|14.16|9.1|102.61|85.44|47.69|31.81||0.41|400.29|1749.57|1660.58|125.33|
|澜起科技|688008.SH|2026-03-24|1681.38|1577.14|119.1|75.21|13.71|8.82|99.41|82.77|46.21|30.82||0.42|387.81|1693.34|1604.35|121.09|
|澜起科技|688008.SH|2026-03-23|1671.97|1568.31|118.43|74.79|13.64|8.77|98.86|82.31|45.95|30.64||0.43|385.64|1683.91|1594.92|120.38|
|澜起科技|688008.SH|2026-03-20|1770.97|1661.17|125.44|79.22|14.45|9.29|104.71|87.18|48.67|32.46||0.4|408.47|1787.03|1698.05|128.16|
|澜起科技|688008.SH|2026-03-19|1829.39|1715.97|129.58|81.83|14.92|9.59|108.16|90.06|50.27|33.53||0.39|421.94|1846.43|1757.44|132.64|
|澜起科技|688008.SH|2026-03-18|1877.54|1761.14|132.99|83.98|15.31|9.85|111.01|92.43|51.6|34.41||0.38|433.05|1891|1802.02|136.01|
|澜起科技|688008.SH|2026-03-17|1791.62|1680.55|126.91|80.14|14.61|9.4|105.93|88.2|49.24|32.84||0.4|413.23|1800.36|1711.37|129.17|
|澜起科技|688008.SH|2026-03-16|1863.86|1748.3|132.02|83.37|15.2|9.78|110.2|91.76|51.22|34.16||0.38|429.89|1875.13|1786.14|134.81|
|澜起科技|688008.SH|2026-03-13|1790.52|1679.51|126.83|80.09|14.61|9.39|105.87|88.15|49.2|32.82||0.4|412.98|1796.91|1707.93|128.91|
|澜起科技|688008.SH|2026-03-12|1807.02|1694.99|128|80.83|14.74|9.48|106.84|88.96|49.66|33.12||0.4|416.79|1819.02|1730.03|130.58|
|澜起科技|688008.SH|2026-03-11|1830.86|1717.35|129.68|81.9|14.93|9.6|108.25|90.13|50.31|33.55||0.39|422.28|1836.9|1747.91|131.92|
|澜起科技|688008.SH|2026-03-10|1869.72|1753.8|132.44|83.64|15.25|9.81|110.55|92.05|51.38|34.27||0.38|431.25|1876.86|1787.87|134.94|
|澜起科技|688008.SH|2026-03-09|1811.06|1698.77|128.28|81.01|14.77|9.5|107.08|89.16|49.77|33.19||0.39|417.72|1810.19|1721.2|129.91|
|澜起科技|688008.SH|2026-03-06|1852.98|1738.1|131.25|82.89|15.11|9.72|109.56|91.22|50.92|33.96||0.39|427.38|1851.94|1762.95|133.06|
|澜起科技|688008.SH|2026-03-05|1865.44|1749.79|132.13|83.44|15.22|9.78|110.3|91.84|51.26|34.19||0.38|430.26|1866.18|1777.19|134.13|
|澜起科技|688008.SH|2026-03-04|1837.09|1723.19|130.13|82.18|14.98|9.63|108.62|90.44|50.48|33.67||0.39|423.72|1835.57|1746.58|131.82|
|澜起科技|688008.SH|2026-03-03|1807.51|1695.45|128.03|80.85|14.74|9.48|106.87|88.98|49.67|33.13||0.4|416.9|1806.71|1717.72|129.65|
|澜起科技|688008.SH|2026-03-02|1948.68|1827.86|138.03|87.17|15.89|10.22|115.22|95.93|53.55|35.71||0.37|449.46|1946.74|1857.75|140.22|
|澜起科技|688008.SH|2026-02-27|1998.91|1874.98|141.59|96.75|16.3|11.11|118.19|98.41|54.93|39||0.36|610.71|1995.29|1906.3|143.88|
|澜起科技|688008.SH|2026-02-26|2018.1|1892.98|142.95|97.68|16.46|11.22|119.32|99.35|55.46|39.37||0.35|616.57|2019.29|1930.3|145.69|
|澜起科技|688008.SH|2026-02-25|2050.12|1923.02|145.22|99.23|16.72|11.4|121.21|100.93|56.34|40||0.35|626.35|2052.16|1963.17|148.17|
|澜起科技|688008.SH|2026-02-24|2134.08|2001.78|151.16|103.3|17.41|11.86|126.18|105.06|58.65|41.63||0.33|652|2141.04|2052.05|154.88|
|澜起科技|688008.SH|2026-02-13|2011.74|1887.02|142.5|97.37|16.41|11.18|118.94|99.04|55.28|39.25||0.36|614.63|2011.64|1922.65|145.11|
|澜起科技|688008.SH|2026-02-12|2038.03|1927.26|144.36|98.65|16.62|11.33|120.5|100.33|56.01|39.76||0.35|622.66|2034.18|1945.19|146.81|
|澜起科技|688008.SH|2026-02-11|2059.73|1947.78|145.9|99.7|16.8|11.45|121.78|101.4|56.6|40.18||0.34|629.29|2049.01|1960.02|147.93|
|澜起科技|688008.SH|2026-02-10|2151.86|2034.91|152.42|104.16|17.55|11.96|127.23|105.94|59.13|41.98||0.33|657.44|2139.31|2050.32|154.75|
|澜起科技|688008.SH|2026-02-09|1988.48|1988.48|140.85|96.25|16.22|16.79|117.57|97.89|54.64|38.79||0.34|607.52|1988.63|1899.65|143.38|
|澜起科技|688008.SH|2026-02-06|1874.87|1874.87|132.8|90.75|15.29|15.83|110.85|92.3|51.52|36.58||0.36|572.81|1875.02|1786.04|134.8|
|澜起科技|688008.SH|2026-02-05|1927.72|1927.72|136.55|93.31|15.72|16.27|113.98|94.9|52.98|37.61||0.35|588.96|1927.87|1838.89|138.79|
|澜起科技|688008.SH|2026-02-04|1959.24|1959.24|138.78|94.83|15.98|16.54|115.84|96.45|53.84|38.22||0.34|598.59|1959.4|1870.41|141.17|
|澜起科技|688008.SH|2026-02-03|2086.84|2086.84|147.82|101.01|17.02|17.62|123.39|102.74|57.35|40.71||0.32|637.57|2087|1998.01|150.8|
|澜起科技|688008.SH|2026-02-02|2039.84|2039.84|144.49|98.73|16.64|17.22|120.61|100.42|56.06|39.8||0.33|623.21|2039.99|1951.01|147.25|
|澜起科技|688008.SH|2026-01-30|2084.78|2084.78|147.67|100.91|17.01|17.6|123.26|102.63|57.29|40.67||0.32|636.94|2084.93|1995.95|150.65|
|澜起科技|688008.SH|2026-01-29|1859.27|1859.27|131.7|89.99|15.17|15.7|109.93|91.53|51.09|36.27||0.36|568.05|1859.43|1770.44|133.63|
|澜起科技|688008.SH|2026-01-28|1986.3|1986.3|140.69|96.14|16.2|16.77|117.44|97.79|54.59|38.75||0.34|606.85|1986.46|1897.47|143.21|
|澜起科技|688008.SH|2026-01-27|1937.69|1937.69|137.25|93.79|15.81|16.36|114.57|95.39|53.25|37.8||0.35|592|1937.85|1848.86|139.54|
|澜起科技|688008.SH|2026-01-26|1881.4|1881.4|133.26|91.07|15.35|15.88|111.24|92.62|51.7|36.7||0.36|574.8|1881.56|1792.57|135.3|
|澜起科技|688008.SH|2026-01-23|1834.51|1834.51|129.94|88.8|14.96|15.49|108.47|90.31|50.41|35.79||0.37|560.48|1834.67|1745.68|131.76|
|澜起科技|688008.SH|2026-01-22|1924.85|1924.85|136.34|93.17|15.7|16.25|113.81|94.76|52.9|37.55||0.35|588.08|1925.01|1836.02|138.57|
|澜起科技|688008.SH|2026-01-21|1834.51|1834.51|129.94|88.8|14.96|15.49|108.47|90.31|50.41|35.79||0.37|560.48|1834.67|1745.68|131.76|
|澜起科技|688008.SH|2026-01-20|1639.39|1639.39|116.12|79.35|13.37|13.84|96.93|80.71|45.05|31.98||0.41|500.87|1639.55|1550.56|117.03|
|澜起科技|688008.SH|2026-01-19|1592.39|1592.39|112.79|77.08|12.99|13.44|94.15|78.39|43.76|31.07||0.42|486.51|1592.54|1503.56|113.48|
|澜起科技|688008.SH|2026-01-16|1634.69|1634.69|115.79|79.12|13.33|13.8|96.65|80.48|44.92|31.89||0.41|499.43|1634.85|1545.86|116.67|
|澜起科技|688008.SH|2026-01-15|1549.97|1549.97|109.79|75.02|12.64|13.09|91.64|76.31|42.59|30.24||0.43|473.55|1550.13|1461.14|110.28|
|澜起科技|688008.SH|2026-01-14|1518.44|1518.44|107.56|73.5|12.39|12.82|89.78|74.75|41.73|29.62||0.44|463.91|1518.6|1429.61|107.9|
|澜起科技|688008.SH|2026-01-13|1484.62|1484.62|105.16|71.86|12.11|12.53|87.78|73.09|40.8|28.96||0.45|453.58|1484.78|1395.79|105.35|
|澜起科技|688008.SH|2026-01-12|1516.03|1516.03|107.38|73.38|12.37|12.8|89.64|74.63|41.66|29.58||0.44|463.18|1516.19|1427.2|107.72|
|澜起科技|688008.SH|2026-01-09|1517.64|1517.64|107.5|73.46|12.38|12.81|89.73|74.71|41.71|29.61||0.44|463.67|1517.8|1428.81|107.84|
|澜起科技|688008.SH|2026-01-08|1514.2|1514.2|107.25|73.29|12.35|12.78|89.53|74.54|41.61|29.54||0.44|462.62|1514.36|1425.37|107.58|
|澜起科技|688008.SH|2026-01-07|1555.7|1555.7|110.19|75.3|12.69|13.13|91.98|76.59|42.75|30.35||0.43|475.3|1555.86|1466.87|110.71|
|澜起科技|688008.SH|2026-01-06|1530.71|1530.71|108.42|74.09|12.49|12.92|90.5|75.36|42.06|29.86||0.44|467.66|1530.87|1441.88|108.83|
|澜起科技|688008.SH|2026-01-05|1464.56|1464.56|103.74|70.89|11.95|12.35|86.59|72.1|40.25|28.57||0.46|447.45|1464.72|1375.73|103.83|
|澜起科技|688008.SH|2025-12-31|1350.49|1350.49|95.66|65.37|11.02|11.38|79.85|66.48|37.11|26.35||0.5|412.6|1350.65|1261.66|95.22|
|澜起科技|688008.SH|2025-12-30|1374.68|1374.68|97.37|66.54|11.21|11.59|81.28|67.68|37.78|26.82||0.49|419.99|1374.84|1285.85|97.05|
|澜起科技|688008.SH|2025-12-29|1365.62|1365.62|96.73|66.1|11.14|11.51|80.74|67.23|37.53|26.64||0.49|417.22|1365.78|1276.79|96.37|
|澜起科技|688008.SH|2025-12-26|1384.26|1384.26|98.05|67|11.29|11.7|81.84|68.15|38.04|27.01||0.48|422.92|1384.42|1295.43|97.77|
|澜起科技|688008.SH|2025-12-25|1389.07|1389.07|98.39|67.24|11.33|11.74|82.13|68.38|38.17|27.1||0.48|424.39|1389.23|1300.24|98.14|
|澜起科技|688008.SH|2025-12-24|1394.79|1394.79|98.8|67.51|11.38|11.79|82.47|68.67|38.33|27.21||0.48|426.14|1394.95|1305.96|98.57|
|澜起科技|688008.SH|2025-12-23|1385.63|1385.63|98.15|67.07|11.3|11.71|81.93|68.21|38.08|27.03||0.48|423.34|1385.79|1296.8|97.88|
|澜起科技|688008.SH|2025-12-22|1378.76|1378.76|97.66|66.74|11.25|11.65|81.52|67.88|37.89|26.9||0.49|421.24|1378.92|1289.93|97.36|
|澜起科技|688008.SH|2025-12-19|1346.47|1346.47|95.37|65.17|10.98|11.38|79.61|66.29|37|26.27||0.5|411.37|1346.63|1257.64|94.92|
|澜起科技|688008.SH|2025-12-18|1337.19|1337.19|94.72|64.72|10.91|11.3|79.06|65.83|36.75|26.09||0.5|408.54|1337.35|1248.36|94.22|
|澜起科技|688008.SH|2025-12-17|1343.26|1343.26|95.15|65.02|10.96|11.35|79.42|66.13|36.91|26.21||0.5|410.39|1343.42|1254.43|94.68|
|澜起科技|688008.SH|2025-12-16|1300.55|1300.55|92.12|62.95|10.61|10.99|76.9|64.03|35.74|25.37||0.52|397.34|1300.71|1211.72|91.46|
|澜起科技|688008.SH|2025-12-15|1318.53|1318.53|93.39|63.82|10.76|11.14|77.96|64.91|36.23|25.72||0.51|402.84|1318.68|1229.7|92.81|
|澜起科技|688008.SH|2025-12-12|1378.76|1378.76|97.66|66.74|11.25|11.65|81.52|67.88|37.89|26.9||0.49|421.24|1378.92|1289.93|97.36|
|澜起科技|688008.SH|2025-12-11|1367.2|1367.2|96.84|66.18|11.15|11.56|80.84|67.31|37.57|26.67||0.49|417.71|1367.35|1278.37|96.49|
|澜起科技|688008.SH|2025-12-10|1380.02|1380.02|97.75|66.8|11.26|11.66|81.59|67.94|37.92|26.92||0.49|421.62|1380.18|1291.19|97.45|
|澜起科技|688008.SH|2025-12-09|1409.68|1409.68|99.85|68.23|11.5|11.91|83.35|69.4|38.74|27.5||0.48|430.69|1409.84|1320.85|99.69|
|澜起科技|688008.SH|2025-12-08|1409.8|1409.8|99.86|68.24|11.5|11.92|83.35|69.4|38.74|27.5||0.48|430.72|1409.95|1320.97|99.7|
|澜起科技|688008.SH|2025-12-05|1365.36|1365.36|96.71|66.09|11.14|11.54|80.73|67.22|37.52|26.64||0.49|417.15|1365.52|1276.53|96.35|
|澜起科技|688008.SH|2025-12-04|1370.75|1370.75|97.09|66.35|11.18|11.59|81.05|67.48|37.67|26.74||0.49|418.79|1370.9|1281.92|96.75|
|澜起科技|688008.SH|2025-12-03|1352.42|1352.42|95.8|65.46|11.03|11.43|79.96|66.58|37.17|26.39||0.5|413.19|1352.58|1263.59|95.37|
|澜起科技|688008.SH|2025-12-02|1353.11|1353.11|95.84|65.49|11.04|11.34|80|66.61|37.18|26.4||0.5|413.4|1353.27|1264.28|95.42|
|澜起科技|688008.SH|2025-12-01|1379.33|1379.33|97.7|66.76|11.25|11.56|81.55|67.9|37.91|26.91||0.49|421.41|1379.49|1290.5|97.4|
|澜起科技|688008.SH|2025-11-28|1357|1357|96.12|65.68|11.07|11.37|80.23|66.81|37.29|26.47||0.49|414.59|1357.16|1268.17|95.72|
|澜起科技|688008.SH|2025-11-27|1344.41|1344.41|95.23|65.07|10.97|11.26|79.49|66.19|36.95|26.23||0.5|410.74|1344.56|1255.58|94.77|
|澜起科技|688008.SH|2025-11-26|1341.09|1341.09|94.99|64.91|10.94|11.24|79.29|66.02|36.85|26.16||0.5|409.73|1341.24|1252.26|94.51|
|澜起科技|688008.SH|2025-11-25|1331.7|1331.7|94.33|64.46|10.86|11.16|78.74|65.56|36.6|25.98||0.5|406.86|1331.85|1242.87|93.81|
|澜起科技|688008.SH|2025-11-24|1304.33|1304.33|92.39|63.13|10.64|10.93|77.12|64.21|35.84|25.45||0.51|398.5|1304.48|1215.5|91.74|
|澜起科技|688008.SH|2025-11-21|1304.33|1304.33|92.39|63.13|10.64|10.93|77.12|64.21|35.84|25.45||0.51|398.5|1304.48|1215.5|91.74|
|澜起科技|688008.SH|2025-11-20|1351.51|1351.51|95.73|65.42|11.02|11.32|79.91|66.53|37.14|26.37||0.5|412.91|1351.66|1262.68|95.3|
|澜起科技|688008.SH|2025-11-19|1367.31|1367.31|96.85|66.18|11.15|11.46|80.84|67.31|37.57|26.68||0.49|417.74|1367.47|1278.48|96.49|
|澜起科技|688008.SH|2025-11-18|1384.49|1384.49|98.07|67.01|11.29|11.6|81.86|68.16|38.05|27.01||0.48|422.99|1384.64|1295.66|97.79|
