vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,贵州茅台、五粮液、山西汾酒、泸州老窖、古井贡酒、洋河股份、今世缘2025年年度营业收入、归母净利润及同比增速,1,财务报表,,,"|股票名称|股票代码|财务科目名称|财务科目代码|财务科目层级|财务科目父级名称|财务科目父级代码|时间|报告期|核算方式|财务科目数额|展示单位|同比(%)|环比(%)|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|泸州老窖|000568|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|257.31|亿元|-17.52|-|利润表|
|泸州老窖|000568|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|254.58|亿元|-17.19|-|利润表|
|泸州老窖|000568|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|2.73|亿元|-39.83|-|利润表|
|泸州老窖|000568|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|108.31|亿元|-19.61|-|利润表|
|古井贡酒|000596|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|188.32|亿元|-20.13|-|利润表|
|古井贡酒|000596|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|187.09|亿元|-20.29|-|利润表|
|古井贡酒|000596|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|1.23|亿元|16.28|-|利润表|
|古井贡酒|000596|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|35.49|亿元|-35.67|-|利润表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|405.29|亿元|-54.55|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|89.54|亿元|-71.89|-|利润表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|1688.38|亿元|-1.21|-|利润表|
|贵州茅台|600519|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|1687.75|亿元|-1.08|-|利润表|
|贵州茅台|600519|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|0.64|亿元|-77.89|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|823.20|亿元|-4.53|-|利润表|
|山西汾酒|600809|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|387.18|亿元|7.52|-|利润表|
|山西汾酒|600809|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|385.93|亿元|7.58|-|利润表|
|山西汾酒|600809|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|1.26|亿元|-7.93|-|利润表|
|山西汾酒|600809|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|122.46|亿元|0.03|-|利润表|
|洋河股份|002304|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|192.11|亿元|-33.47|-|利润表|
|洋河股份|002304|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|187.76|亿元|-33.53|-|利润表|
|洋河股份|002304|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|4.35|亿元|-30.78|-|利润表|
|洋河股份|002304|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|22.06|亿元|-66.94|-|利润表|
|今世缘|603369|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|101.81|亿元|-11.81|-|利润表|
|今世缘|603369|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|100.12|亿元|-12.77|-|利润表|
|今世缘|603369|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|1.69|亿元|152.96|-|利润表|
|今世缘|603369|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|26.04|亿元|-23.69|-|利润表|
|泸州老窖|000568|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|231.27|亿元|-4.84|-|利润表|
|泸州老窖|000568|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|107.62|亿元|-7.17|-|利润表|
|古井贡酒|000596|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|164.25|亿元|-13.87|-|利润表|
|古井贡酒|000596|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|39.60|亿元|-16.57|-|利润表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|306.38|亿元|-54.89|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|64.75|亿元|-74.03|-|利润表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|1284.54|亿元|6.36|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|646.27|亿元|6.25|-|利润表|
|山西汾酒|600809|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|329.24|亿元|5.00|-|利润表|
|山西汾酒|600809|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|114.05|亿元|0.48|-|利润表|
|洋河股份|002304|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|180.90|亿元|-34.26|-|利润表|
|洋河股份|002304|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|39.75|亿元|-53.66|-|利润表|
|今世缘|603369|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|88.81|亿元|-10.66|-|利润表|
|今世缘|603369|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|25.49|亿元|-17.39|-|利润表|
|泸州老窖|000568|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|164.54|亿元|-2.67|-|利润表|
|泸州老窖|000568|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|163.45|亿元|-1.77|-|利润表|
|泸州老窖|000568|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|1.09|亿元|-59.04|-|利润表|
|泸州老窖|000568|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|76.63|亿元|-4.54|-|利润表|
|古井贡酒|000596|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|138.80|亿元|0.54|-|利润表|
|古井贡酒|000596|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|138.17|亿元|0.50|-|利润表|
|古井贡酒|000596|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|0.62|亿元|10.33|-|利润表|
|古井贡酒|000596|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|36.62|亿元|2.49|-|利润表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|235.10|亿元|-53.58|-|利润表|
|五粮液|000858|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|233.47|亿元|-53.66|-|利润表|
|五粮液|000858|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|1.63|亿元|-38.44|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|46.24|亿元|-75.74|-|利润表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|893.89|亿元|9.10|-|利润表|
|贵州茅台|600519|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|893.52|亿元|9.35|-|利润表|
|贵州茅台|600519|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|0.37|亿元|-83.01|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|454.03|亿元|8.89|-|利润表|
|山西汾酒|600809|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|239.64|亿元|5.35|-|利润表|
|山西汾酒|600809|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|238.75|亿元|5.36|-|利润表|
|山西汾酒|600809|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|0.89|亿元|2.39|-|利润表|
|山西汾酒|600809|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|85.05|亿元|1.13|-|利润表|
|洋河股份|002304|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|147.96|亿元|-35.32|-|利润表|
|洋河股份|002304|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|145.13|亿元|-35.47|-|利润表|
|洋河股份|002304|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|2.83|亿元|-26.42|-|利润表|
|洋河股份|002304|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|43.44|亿元|-45.34|-|利润表|
|今世缘|603369|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|69.50|亿元|-4.84|-|利润表|
|今世缘|603369|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|68.82|亿元|-5.17|-|利润表|
|今世缘|603369|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|0.68|亿元|46.31|-|利润表|
|今世缘|603369|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|22.29|亿元|-9.46|-|利润表|
|泸州老窖|000568|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|93.52|亿元|1.78|-|利润表|
|泸州老窖|000568|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|45.93|亿元|0.41|-|利润表|
|古井贡酒|000596|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|91.46|亿元|10.38|-|利润表|
|古井贡酒|000596|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|23.30|亿元|12.78|-|利润表|
|五粮液|000858|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|170.86|亿元|-50.95|-|利润表|
|五粮液|000858|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|44.16|亿元|-68.56|-|利润表|
|贵州茅台|600519|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|506.01|亿元|10.54|-|利润表|
|贵州茅台|600519|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|268.47|亿元|11.56|-|利润表|
|山西汾酒|600809|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|165.23|亿元|7.72|-|利润表|
|山西汾酒|600809|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|66.48|亿元|6.15|-|利润表|
|洋河股份|002304|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|110.66|亿元|-31.92|-|利润表|
|洋河股份|002304|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|36.37|亿元|-39.93|-|利润表|
|今世缘|603369|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|50.99|亿元|9.17|-|利润表|
|今世缘|603369|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|16.44|亿元|7.27|-|利润表|",2026-07-18T11:40:37.199467+08:00
gildata,FinQuery,贵州茅台、五粮液、山西汾酒、泸州老窖、古井贡酒、洋河股份、今世缘2025年年度营业收入、归母净利润及同比增速,2,财务分析,,,"|股票名称|股票代码|财务分析指标名称|财务分析指标代码|指标类型|核算方式|时间|报告期|财务分析指标数额|展示单位|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|泸州老窖|000568|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-17.5189|%|成长能力|
|泸州老窖|000568|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-19.6116|%|成长能力|
|古井贡酒|000596|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-20.1288|%|成长能力|
|古井贡酒|000596|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-35.6725|%|成长能力|
|五粮液|000858|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-54.5518|%|成长能力|
|五粮液|000858|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-71.889|%|成长能力|
|贵州茅台|600519|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-1.206|%|成长能力|
|贵州茅台|600519|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-4.5323|%|成长能力|
|山西汾酒|600809|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|7.5179|%|成长能力|
|山西汾酒|600809|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|0.0281|%|成长能力|
|洋河股份|002304|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-33.4712|%|成长能力|
|洋河股份|002304|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-66.9424|%|成长能力|
|今世缘|603369|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-11.8126|%|成长能力|
|今世缘|603369|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-23.6885|%|成长能力|
|泸州老窖|000568|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-4.8392|%|成长能力|
|泸州老窖|000568|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-7.165|%|成长能力|
|古井贡酒|000596|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-13.8656|%|成长能力|
|古井贡酒|000596|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-16.5657|%|成长能力|
|五粮液|000858|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-10.2631|%|成长能力|
|五粮液|000858|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-13.716|%|成长能力|
|贵州茅台|600519|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|6.3569|%|成长能力|
|贵州茅台|600519|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|6.2458|%|成长能力|
|山西汾酒|600809|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|4.9966|%|成长能力|
|山西汾酒|600809|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|0.4805|%|成长能力|
|洋河股份|002304|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-34.257|%|成长能力|
|洋河股份|002304|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-53.6643|%|成长能力|
|今世缘|603369|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-10.6619|%|成长能力|
|今世缘|603369|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-17.3937|%|成长能力|
|泸州老窖|000568|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|-2.6688|%|成长能力|
|泸州老窖|000568|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|-4.5422|%|成长能力|
|古井贡酒|000596|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|0.5372|%|成长能力|
|古井贡酒|000596|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|2.4853|%|成长能力|
|五粮液|000858|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|4.1916|%|成长能力|
|五粮液|000858|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|2.2832|%|成长能力|
|贵州茅台|600519|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|9.1032|%|成长能力|
|贵州茅台|600519|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|8.8915|%|成长能力|
|山西汾酒|600809|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|5.3536|%|成长能力|
|山西汾酒|600809|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|1.1318|%|成长能力|
|洋河股份|002304|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|-35.3217|%|成长能力|
|洋河股份|002304|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|-45.344|%|成长能力|
|今世缘|603369|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|-4.843|%|成长能力|
|今世缘|603369|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|-9.4551|%|成长能力|
|泸州老窖|000568|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|1.7823|%|成长能力|
|泸州老窖|000568|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|0.4117|%|成长能力|
|古井贡酒|000596|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|10.3755|%|成长能力|
|古井贡酒|000596|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|12.7797|%|成长能力|
|五粮液|000858|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|6.0502|%|成长能力|
|五粮液|000858|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|5.8036|%|成长能力|
|贵州茅台|600519|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|10.5415|%|成长能力|
|贵州茅台|600519|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|11.5611|%|成长能力|
|山西汾酒|600809|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|7.7229|%|成长能力|
|山西汾酒|600809|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|6.1503|%|成长能力|
|洋河股份|002304|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|-31.9208|%|成长能力|
|洋河股份|002304|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|-39.9346|%|成长能力|
|今世缘|603369|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|9.1652|%|成长能力|
|今世缘|603369|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|7.2733|%|成长能力|",2026-07-18T11:40:37.199467+08:00
