vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,五粮液2016年1月至今每月末市盈率PE-TTM,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|五粮液|000858.SZ|2026-07-17|2824.26|2824.19|31.54|22.41|2.21|2.4|9.51|24.94|6.97|6.1|11.44|7.09|-94.42|2827.65|1585.06|14.66|
|五粮液|000858.SZ|2026-07-16|2868.51|2868.44|32.04|22.76|2.24|2.44|9.66|25.34|7.08|6.2|11.26|6.98|-95.9|2871.9|1629.31|15.07|
|五粮液|000858.SZ|2026-07-15|2965.55|2965.48|33.12|23.53|2.32|2.32|9.98|26.19|7.32|6.41|10.89|7.52|-99.14|2968.94|1726.35|15.97|
|五粮液|000858.SZ|2026-07-14|2849.1|2849.03|31.82|22.61|2.23|2.23|9.59|25.16|7.03|6.16|11.34|7.83|-95.25|2852.49|1609.9|14.89|
|五粮液|000858.SZ|2026-07-13|2826.59|2826.52|31.57|22.43|2.21|2.21|9.52|24.97|6.97|6.11|11.43|7.89|-94.5|2829.98|1587.39|14.69|
|五粮液|000858.SZ|2026-07-10|2860.36|2860.29|31.94|22.7|2.23|2.24|9.63|25.26|7.06|6.18|11.29|7.8|-95.63|2863.75|1621.16|15|
|五粮液|000858.SZ|2026-07-09|2752.06|2751.99|30.73|21.84|2.15|2.15|9.26|24.31|6.79|5.95|11.74|8.11|-92.01|2755.45|1512.86|14|
|五粮液|000858.SZ|2026-07-08|2774.57|2774.51|30.99|22.02|2.17|2.17|9.34|24.51|6.85|6|11.64|8.04|-92.76|2777.96|1535.37|14.2|
|五粮液|000858.SZ|2026-07-07|2783.89|2783.82|31.09|22.09|2.17|2.18|9.37|24.59|6.87|6.02|11.6|8.01|-93.07|2787.28|1544.69|14.29|
|五粮液|000858.SZ|2026-07-06|2863.07|2863|31.97|22.72|2.24|2.24|9.64|25.29|7.06|6.19|11.28|7.79|-95.72|2866.46|1623.87|15.02|
|五粮液|000858.SZ|2026-07-03|2841.73|2841.66|31.74|22.55|2.22|2.22|9.57|25.1|7.01|6.14|11.37|7.85|-95|2845.11|1602.52|14.83|
|五粮液|000858.SZ|2026-07-02|2852.98|2852.91|31.86|22.64|2.23|2.23|9.6|25.2|7.04|6.16|11.32|7.82|-95.38|2856.37|1613.78|14.93|
|五粮液|000858.SZ|2026-07-01|2892.57|2892.5|32.3|22.96|2.26|2.26|9.74|25.55|7.14|6.25|11.17|7.71|-96.7|2895.96|1653.37|15.3|
|五粮液|000858.SZ|2026-06-30|2872.39|2872.32|32.08|22.8|2.24|2.25|9.67|25.37|7.09|6.21|11.25|7.77|-96.03|2875.78|1633.19|15.11|
|五粮液|000858.SZ|2026-06-29|2872.39|2872.32|32.08|22.8|2.24|2.25|9.67|25.37|7.09|6.21|11.25|7.77|-96.03|2875.78|1633.19|15.11|
|五粮液|000858.SZ|2026-06-26|2840.17|2840.1|31.72|22.54|2.22|2.22|9.56|25.09|7.01|6.14|11.37|7.85|-94.95|2843.56|1600.97|14.81|
|五粮液|000858.SZ|2026-06-25|2911.21|2911.14|32.51|23.1|2.27|2.28|9.8|25.71|7.18|6.29|11.1|7.66|-97.33|2914.6|1672.01|15.47|
|五粮液|000858.SZ|2026-06-24|2845.22|2845.15|31.77|22.58|2.22|2.22|9.58|25.13|7.02|6.15|11.35|7.84|-95.12|2848.61|1606.02|14.86|
|五粮液|000858.SZ|2026-06-23|2901.89|2901.82|32.41|23.03|2.27|2.27|9.77|25.63|7.16|6.27|11.13|7.69|-97.02|2905.28|1662.69|15.38|
|五粮液|000858.SZ|2026-06-22|2971.37|2971.3|33.18|23.58|2.32|2.32|10|26.24|7.33|6.42|10.87|7.51|-99.34|2974.76|1732.17|16.02|
|五粮液|000858.SZ|2026-06-18|2944.2|2944.13|32.88|23.37|2.3|2.3|9.91|26|7.26|6.36|10.97|7.58|-98.43|2947.59|1705|15.77|
|五粮液|000858.SZ|2026-06-17|3007.86|3007.78|33.59|23.87|2.35|2.35|10.13|26.57|7.42|6.5|10.74|7.42|-100.56|3011.25|1768.66|16.36|
|五粮液|000858.SZ|2026-06-16|3040.46|3040.39|33.96|24.13|2.38|2.38|10.24|26.85|7.5|6.57|10.63|7.34|-101.65|3043.85|1801.26|16.66|
|五粮液|000858.SZ|2026-06-15|3090.92|3090.85|34.52|24.53|2.41|2.42|10.4|27.3|7.63|6.68|10.45|7.22|-103.34|3094.31|1851.72|17.13|
|五粮液|000858.SZ|2026-06-12|3102.18|3102.11|34.64|24.62|2.42|2.43|10.44|27.4|7.65|6.7|10.41|7.19|-103.71|3105.57|1862.98|17.24|
|五粮液|000858.SZ|2026-06-11|3097.14|3097.06|34.59|24.58|2.42|2.42|10.43|27.35|7.64|6.69|10.43|7.2|-103.54|3100.52|1857.93|17.19|
|五粮液|000858.SZ|2026-06-10|3071.9|3071.83|34.31|24.38|2.4|2.4|10.34|27.13|7.58|6.64|10.52|7.26|-102.7|3075.29|1832.7|16.95|
|五粮液|000858.SZ|2026-06-09|3070.74|3070.67|34.29|24.37|2.4|2.4|10.34|27.12|7.58|6.63|10.52|7.26|-102.66|3074.13|1831.54|16.94|
|五粮液|000858.SZ|2026-06-08|3103.73|3103.66|34.66|24.63|2.42|2.43|10.45|27.41|7.66|6.71|10.41|7.19|-103.76|3107.12|1864.53|17.25|
|五粮液|000858.SZ|2026-06-05|3147.21|3147.13|35.15|24.98|2.46|2.46|10.59|27.8|7.77|6.8|10.27|7.09|-105.22|3150.6|1908.01|17.65|
|五粮液|000858.SZ|2026-06-04|3147.98|3147.91|35.16|24.98|2.46|2.46|10.6|27.8|7.77|6.8|10.26|7.09|-105.24|3151.37|1908.78|17.66|
|五粮液|000858.SZ|2026-06-03|3196.5|3196.43|35.7|25.37|2.5|2.5|10.76|28.23|7.89|6.91|10.11|6.98|-106.87|3199.89|1957.3|18.11|
|五粮液|000858.SZ|2026-06-02|3210.48|3210.4|35.85|25.48|2.51|2.51|10.81|28.36|7.92|6.94|10.06|6.95|-107.33|3213.87|1971.28|18.24|
|五粮液|000858.SZ|2026-06-01|3237.65|3237.57|36.16|25.69|2.53|2.53|10.9|28.6|7.99|7|9.98|6.89|-108.24|3241.04|1998.45|18.49|
|五粮液|000858.SZ|2026-05-29|3295.1|3295.02|36.8|26.15|2.57|2.57|11.09|29.1|8.13|7.12|9.8|6.77|-110.16|3298.49|2055.9|19.02|
|五粮液|000858.SZ|2026-05-28|3163.12|3163.05|35.33|25.1|2.47|2.47|10.65|27.94|7.8|6.83|10.21|7.05|-105.75|3166.51|1923.92|17.8|
|五粮液|000858.SZ|2026-05-27|3256.28|3256.2|36.37|25.84|2.54|2.54|10.96|28.76|8.03|7.04|9.92|6.85|-108.86|3259.67|2017.08|18.66|
|五粮液|000858.SZ|2026-05-26|3235.71|3235.63|36.14|25.68|2.53|2.53|10.89|28.58|7.98|6.99|9.98|6.89|-108.18|3239.1|1996.51|18.47|
|五粮液|000858.SZ|2026-05-25|3265.98|3265.91|36.47|25.92|2.55|2.55|10.99|28.85|8.06|7.06|9.89|6.83|-109.19|3269.37|2026.78|18.75|
|五粮液|000858.SZ|2026-05-22|3261.72|3261.64|36.43|25.89|2.55|2.55|10.98|28.81|8.05|7.05|9.9|6.84|-109.05|3265.1|2022.51|18.71|
|五粮液|000858.SZ|2026-05-21|3312.95|3312.87|37|26.29|2.59|2.59|11.15|29.26|8.17|7.16|9.75|6.73|-110.76|3316.34|2073.75|19.18|
|五粮液|000858.SZ|2026-05-20|3317.61|3317.53|37.05|26.33|2.59|2.59|11.17|29.3|8.19|7.17|9.74|6.72|-110.91|3321|2078.41|19.23|
|五粮液|000858.SZ|2026-05-19|3329.64|3329.56|37.19|26.42|2.6|2.6|11.21|29.41|8.22|7.19|9.7|6.7|-111.32|3333.03|2090.44|19.34|
|五粮液|000858.SZ|2026-05-18|3321.49|3321.41|37.09|26.36|2.6|2.6|11.18|29.34|8.2|7.18|9.73|6.72|-111.04|3324.88|2082.29|19.26|
|五粮液|000858.SZ|2026-05-15|3371.95|3371.87|37.66|26.76|2.63|2.63|11.35|29.78|8.32|7.29|9.58|6.62|-112.73|3375.34|2132.75|19.73|
|五粮液|000858.SZ|2026-05-14|3454.24|3454.16|38.58|27.41|2.7|2.7|11.63|30.51|8.52|7.46|9.35|6.46|-115.48|3457.63|2215.04|20.49|
|五粮液|000858.SZ|2026-05-13|3460.45|3460.37|38.65|27.46|2.7|2.7|11.65|30.56|8.54|7.48|9.34|6.45|-115.69|3463.84|2221.25|20.55|
|五粮液|000858.SZ|2026-05-12|3515.18|3515.1|39.26|27.9|2.75|2.75|11.83|31.05|8.67|7.6|9.19|6.35|-117.52|3518.57|2275.98|21.06|
|五粮液|000858.SZ|2026-05-11|3563.7|3563.62|39.8|28.28|2.78|2.78|12|31.48|8.79|7.7|9.07|6.26|-119.14|3567.09|2324.5|21.5|
|五粮液|000858.SZ|2026-05-08|3576.13|3576.04|39.94|28.38|2.79|2.79|12.04|31.59|8.82|7.73|9.03|6.24|-119.56|3579.51|2336.92|21.62|
|五粮液|000858.SZ|2026-05-07|3594.37|3594.28|40.14|28.53|2.81|2.81|12.1|31.75|8.87|7.77|8.99|6.21|-120.17|3597.76|2355.17|21.79|
|五粮液|000858.SZ|2026-05-06|3581.17|3581.08|39.99|28.42|2.8|2.8|12.06|31.63|8.84|7.74|9.02|6.23|-119.73|3584.56|2341.97|21.67|
|五粮液|000858.SZ|2026-04-30|3768.27|3768.17|42.08|29.91|2.94|2.94|12.69|33.28|9.3|8.14|8.57|5.92|-125.98|3771.65|2529.06|23.4|
|五粮液|000858.SZ|2026-04-29|3817.17|3817.01|11.98|13.42|2.68|2.88|11.25|11.78|4.28|4.64|8.46|5.84|451.09|3820.86|2457.8|5.78|
|五粮液|000858.SZ|2026-04-28|3889.37|3889.21|12.21|13.68|2.73|2.94|11.46|12.01|4.36|4.73|8.31|5.74|459.62|3893.06|2530|5.95|
|五粮液|000858.SZ|2026-04-27|3889.37|3889.21|12.21|13.68|2.73|2.94|11.46|12.01|4.36|4.73|8.31|5.74|459.62|3893.06|2530|5.95|
|五粮液|000858.SZ|2026-04-24|3930.9|3930.74|12.34|13.82|2.76|2.97|11.58|12.13|4.41|4.78|8.22|5.67|464.53|3934.59|2571.53|6.04|
|五粮液|000858.SZ|2026-04-23|3927.41|3927.25|12.33|13.81|2.76|2.96|11.57|12.12|4.4|4.78|8.23|5.68|464.12|3931.1|2568.04|6.04|
|五粮液|000858.SZ|2026-04-22|3906.45|3906.29|12.26|13.74|2.74|2.95|11.51|12.06|4.38|4.75|8.27|5.71|461.64|3910.14|2547.08|5.99|
|五粮液|000858.SZ|2026-04-21|3927.41|3927.25|12.33|13.81|2.76|2.96|11.57|12.12|4.4|4.78|8.23|5.68|464.12|3931.1|2568.04|6.04|
|五粮液|000858.SZ|2026-04-20|3934.01|3933.84|12.35|13.84|2.76|2.97|11.59|12.14|4.41|4.79|8.21|5.67|464.9|3937.7|2574.64|6.05|
|五粮液|000858.SZ|2026-04-17|3953.81|3953.64|12.41|13.91|2.77|2.98|11.65|12.21|4.43|4.81|8.17|5.64|467.24|3957.5|2594.44|6.1|
|五粮液|000858.SZ|2026-04-16|4015.14|4014.97|12.61|14.12|2.82|3.03|11.83|12.39|4.5|4.88|8.05|5.56|474.49|4018.83|2655.77|6.24|
|五粮液|000858.SZ|2026-04-15|4019.41|4019.24|12.62|14.14|2.82|3.03|11.84|12.41|4.51|4.89|8.04|5.55|474.99|4023.09|2660.04|6.25|
|五粮液|000858.SZ|2026-04-14|4001.94|4001.77|12.56|14.07|2.81|3.02|11.79|12.35|4.49|4.87|8.07|5.57|472.93|4005.63|2642.57|6.21|
|五粮液|000858.SZ|2026-04-13|3975.54|3975.38|12.48|13.98|2.79|3|11.71|12.27|4.46|4.84|8.13|5.61|469.81|3979.23|2616.17|6.15|
|五粮液|000858.SZ|2026-04-10|3961.96|3961.79|12.44|13.93|2.78|2.99|11.67|12.23|4.44|4.82|8.15|5.63|468.2|3965.65|2602.59|6.12|
|五粮液|000858.SZ|2026-04-09|3982.53|3982.36|12.5|14.01|2.79|3.01|11.73|12.29|4.47|4.84|8.11|5.6|470.63|3986.22|2623.16|6.17|
|五粮液|000858.SZ|2026-04-08|4044.25|4044.08|12.7|14.22|2.84|3.05|11.92|12.48|4.54|4.92|7.99|5.52|477.93|4047.94|2684.88|6.31|
|五粮液|000858.SZ|2026-04-07|4002.33|4002.16|12.56|14.08|2.81|3.02|11.79|12.36|4.49|4.87|8.07|5.57|472.97|4006.02|2642.96|6.21|
|五粮液|000858.SZ|2026-04-03|4017.08|4016.91|12.61|14.13|2.82|3.03|11.84|12.4|4.5|4.89|8.04|5.55|474.71|4020.77|2657.71|6.25|
|五粮液|000858.SZ|2026-04-02|4075.69|4075.52|12.8|14.33|2.86|3.08|12.01|12.58|4.57|4.96|7.93|5.47|481.64|4079.38|2716.32|6.38|
|五粮液|000858.SZ|2026-04-01|4052.01|4051.84|12.72|14.25|2.84|3.06|11.94|12.51|4.54|4.93|7.97|5.51|478.84|4055.7|2692.64|6.33|
|五粮液|000858.SZ|2026-03-31|4008.54|4008.37|12.58|14.1|2.81|3.03|11.81|12.37|4.5|4.88|8.06|5.57|473.71|4012.23|2649.17|6.23|
|五粮液|000858.SZ|2026-03-30|4015.91|4015.74|12.61|14.12|2.82|3.03|11.83|12.4|4.5|4.89|8.04|5.55|474.58|4019.6|2656.54|6.24|
|五粮液|000858.SZ|2026-03-27|3984.47|3984.3|12.51|14.01|2.8|3.01|11.74|12.3|4.47|4.85|8.11|5.6|470.86|3988.16|2625.1|6.17|
|五粮液|000858.SZ|2026-03-26|3931.29|3931.13|12.34|13.83|2.76|2.97|11.58|12.14|4.41|4.78|8.22|5.67|464.58|3934.98|2571.92|6.04|
|五粮液|000858.SZ|2026-03-25|3976.71|3976.54|12.48|13.99|2.79|3|11.72|12.28|4.46|4.84|8.12|5.61|469.94|3980.4|2617.34|6.15|
|五粮液|000858.SZ|2026-03-24|3933.62|3933.46|12.35|13.83|2.76|2.97|11.59|12.14|4.41|4.79|8.21|5.67|464.85|3937.31|2574.25|6.05|
|五粮液|000858.SZ|2026-03-23|3890.54|3890.37|12.21|13.68|2.73|2.94|11.46|12.01|4.36|4.73|8.3|5.73|459.76|3894.23|2531.17|5.95|
|五粮液|000858.SZ|2026-03-20|3974.77|3974.6|12.48|13.98|2.79|3|11.71|12.27|4.46|4.84|8.13|5.61|469.71|3978.46|2615.4|6.15|
|五粮液|000858.SZ|2026-03-19|3979.81|3979.65|12.49|14|2.79|3|11.73|12.29|4.46|4.84|8.12|5.61|470.31|3983.5|2620.44|6.16|
|五粮液|000858.SZ|2026-03-18|4026|4025.83|12.64|14.16|2.83|3.04|11.86|12.43|4.51|4.9|8.02|5.54|475.77|4029.69|2666.63|6.27|
|五粮液|000858.SZ|2026-03-17|4067.54|4067.37|12.77|14.31|2.85|3.07|11.98|12.56|4.56|4.95|7.94|5.48|480.68|4071.23|2708.17|6.37|
|五粮液|000858.SZ|2026-03-16|4057.83|4057.66|12.74|14.27|2.85|3.06|11.96|12.53|4.55|4.94|7.96|5.5|479.53|4061.52|2698.46|6.34|
|五粮液|000858.SZ|2026-03-13|3996.12|3995.95|12.55|14.05|2.8|3.02|11.77|12.34|4.48|4.86|8.08|5.58|472.24|3999.81|2636.75|6.2|
|五粮液|000858.SZ|2026-03-12|3969.72|3969.55|12.46|13.96|2.79|3|11.7|12.25|4.45|4.83|8.14|5.62|469.12|3973.41|2610.35|6.14|
|五粮液|000858.SZ|2026-03-11|3966.23|3966.06|12.45|13.95|2.78|2.99|11.69|12.24|4.45|4.82|8.15|5.62|468.71|3969.92|2606.86|6.13|
|五粮液|000858.SZ|2026-03-10|3961.18|3961.01|12.44|13.93|2.78|2.99|11.67|12.23|4.44|4.82|8.16|5.63|468.11|3964.87|2601.81|6.12|
|五粮液|000858.SZ|2026-03-09|3940.61|3940.44|12.37|13.86|2.77|2.97|11.61|12.16|4.42|4.79|8.2|5.66|465.68|3944.3|2581.24|6.07|
|五粮液|000858.SZ|2026-03-06|3974.77|3974.6|12.48|13.98|2.79|3|11.71|12.27|4.46|4.84|8.13|5.61|469.71|3978.46|2615.4|6.15|
|五粮液|000858.SZ|2026-03-05|3937.89|3937.73|12.36|13.85|2.76|2.97|11.6|12.16|4.42|4.79|8.2|5.66|465.36|3941.58|2578.52|6.06|
|五粮液|000858.SZ|2026-03-04|3921.2|3921.04|12.31|13.79|2.75|2.96|11.55|12.11|4.4|4.77|8.24|5.69|463.38|3924.89|2561.83|6.02|
|五粮液|000858.SZ|2026-03-03|3980.59|3980.42|12.5|14|2.79|3|11.73|12.29|4.46|4.84|8.12|5.6|470.4|3984.28|2621.22|6.16|
|五粮液|000858.SZ|2026-03-02|4006.6|4006.43|12.58|14.09|2.81|3.02|11.8|12.37|4.49|4.87|8.06|5.57|473.48|4010.29|2647.23|6.22|
|五粮液|000858.SZ|2026-02-27|4038.81|4038.64|12.68|14.2|2.83|3.05|11.9|12.47|4.53|4.91|8|5.52|477.28|4042.5|2679.44|6.3|
|五粮液|000858.SZ|2026-02-26|4032.21|4032.04|12.66|14.18|2.83|3.04|11.88|12.45|4.52|4.91|8.01|5.53|476.5|4035.9|2672.84|6.28|
|五粮液|000858.SZ|2026-02-25|4082.29|4082.12|12.82|14.36|2.86|3.08|12.03|12.6|4.58|4.97|7.91|5.46|482.42|4085.98|2722.92|6.4|
|五粮液|000858.SZ|2026-02-24|4081.9|4081.73|12.81|14.36|2.86|3.08|12.03|12.6|4.58|4.97|7.91|5.46|482.38|4085.59|2722.53|6.4|
|五粮液|000858.SZ|2026-02-13|4116.83|4116.66|12.92|14.48|2.89|3.11|12.13|12.71|4.62|5.01|7.85|5.42|486.5|4120.52|2757.46|6.48|
|五粮液|000858.SZ|2026-02-12|4060.94|4060.77|12.75|14.28|2.85|3.07|11.97|12.54|4.55|4.94|7.96|5.49|479.9|4064.63|2701.57|6.35|
|五粮液|000858.SZ|2026-02-11|4116.06|4115.88|12.92|14.48|2.89|3.11|12.13|12.71|4.62|5.01|7.85|5.42|486.41|4119.75|2756.69|6.48|
|五粮液|000858.SZ|2026-02-10|4133.91|4133.74|12.98|14.54|2.9|3.12|12.18|12.76|4.64|5.03|7.82|5.4|488.52|4137.6|2774.54|6.52|
|五粮液|000858.SZ|2026-02-09|4167.29|4167.12|13.08|14.66|2.92|3.15|12.28|12.86|4.67|5.07|7.75|5.35|492.47|4170.98|2807.92|6.6|
|五粮液|000858.SZ|2026-02-06|4153.32|4153.15|13.04|14.61|2.91|3.13|12.24|12.82|4.66|5.05|7.78|5.37|490.82|4157.01|2793.95|6.57|
|五粮液|000858.SZ|2026-02-05|4226.68|4226.5|13.27|14.87|2.97|3.19|12.45|13.05|4.74|5.14|7.64|5.28|499.49|4230.37|2867.31|6.74|
|五粮液|000858.SZ|2026-02-04|4212.32|4212.14|13.22|14.81|2.96|3.18|12.41|13|4.72|5.12|7.67|5.3|497.79|4216.01|2852.95|6.71|
|五粮液|000858.SZ|2026-02-03|4164.19|4164.01|13.07|14.65|2.92|3.14|12.27|12.86|4.67|5.07|7.76|5.36|492.1|4167.88|2804.82|6.59|
|五粮液|000858.SZ|2026-02-02|4164.58|4164.4|13.07|14.65|2.92|3.14|12.27|12.86|4.67|5.07|7.76|5.36|492.15|4168.27|2805.21|6.59|
|五粮液|000858.SZ|2026-01-30|4075.69|4075.52|12.8|14.33|2.86|3.08|12.01|12.58|4.57|4.96|7.93|5.47|481.64|4079.38|2716.32|6.38|
|五粮液|000858.SZ|2026-01-29|4299.66|4299.48|13.5|15.12|3.02|3.25|12.67|13.27|4.82|5.23|7.51|5.19|508.11|4303.35|2940.29|6.91|
|五粮液|000858.SZ|2026-01-28|3908.78|3908.61|12.27|13.75|2.74|2.95|11.52|12.07|4.38|4.75|8.27|5.71|461.92|3912.47|2549.41|5.99|
|五粮液|000858.SZ|2026-01-27|3921.2|3921.04|12.31|13.79|2.75|2.96|11.55|12.11|4.4|4.77|8.24|5.69|463.38|3924.89|2561.83|6.02|
|五粮液|000858.SZ|2026-01-26|3972.44|3972.27|12.47|13.97|2.79|3|11.7|12.26|4.45|4.83|8.13|5.62|469.44|3976.13|2613.07|6.14|
|五粮液|000858.SZ|2026-01-23|3997.67|3997.5|12.55|14.06|2.81|3.02|11.78|12.34|4.48|4.86|8.08|5.58|472.42|4001.36|2638.3|6.2|
|五粮液|000858.SZ|2026-01-22|3988.74|3988.57|12.52|14.03|2.8|3.01|11.75|12.31|4.47|4.85|8.1|5.59|471.37|3992.43|2629.37|6.18|
|五粮液|000858.SZ|2026-01-21|4000|3999.83|12.56|14.07|2.81|3.02|11.79|12.35|4.49|4.87|8.08|5.58|472.7|4003.69|2640.63|6.21|
|五粮液|000858.SZ|2026-01-20|4072.19|4072.02|12.78|14.32|2.86|3.07|12|12.57|4.57|4.95|7.93|5.48|481.23|4075.88|2712.82|6.38|
|五粮液|000858.SZ|2026-01-19|4058.22|4058.05|12.74|14.27|2.85|3.06|11.96|12.53|4.55|4.94|7.96|5.5|479.58|4061.91|2698.85|6.34|
|五粮液|000858.SZ|2026-01-16|4081.9|4081.73|12.81|14.36|2.86|3.08|12.03|12.6|4.58|4.97|7.91|5.46|482.38|4085.59|2722.53|6.4|
|五粮液|000858.SZ|2026-01-15|4118|4117.82|12.93|14.48|2.89|3.11|12.13|12.71|4.62|5.01|7.85|5.42|486.64|4121.69|2758.63|6.48|
|五粮液|000858.SZ|2026-01-14|4154.87|4154.7|13.04|14.61|2.92|3.14|12.24|12.83|4.66|5.05|7.78|5.37|491|4158.56|2795.5|6.57|
|五粮液|000858.SZ|2026-01-13|4192.14|4191.96|13.16|14.74|2.94|3.16|12.35|12.94|4.7|5.1|7.71|5.32|495.4|4195.83|2832.77|6.66|
|五粮液|000858.SZ|2026-01-12|4213.49|4213.31|13.23|14.82|2.96|3.18|12.41|13.01|4.72|5.13|7.67|5.29|497.93|4217.18|2854.12|6.71|
|五粮液|000858.SZ|2026-01-09|4158.75|4158.58|13.06|14.63|2.92|3.14|12.25|12.84|4.66|5.06|7.77|5.36|491.46|4162.44|2799.38|6.58|
|五粮液|000858.SZ|2026-01-08|4149.44|4149.26|13.03|14.59|2.91|3.13|12.23|12.81|4.65|5.05|7.79|5.38|490.36|4153.13|2790.07|6.56|
|五粮液|000858.SZ|2026-01-07|4173.5|4173.33|13.1|14.68|2.93|3.15|12.3|12.88|4.68|5.08|7.74|5.35|493.2|4177.19|2814.13|6.61|
|五粮液|000858.SZ|2026-01-06|4198.74|4198.56|13.18|14.77|2.95|3.17|12.37|12.96|4.71|5.11|7.69|5.31|496.18|4202.43|2839.37|6.67|
|五粮液|000858.SZ|2026-01-05|4188.26|4188.08|13.15|14.73|2.94|3.16|12.34|12.93|4.7|5.09|7.71|5.33|494.94|4191.94|2828.89|6.65|
|五粮液|000858.SZ|2025-12-31|4112.18|4112|12.91|14.46|2.89|3.1|12.12|12.69|4.61|5|4.41|5.42|485.95|4115.87|2752.81|6.47|
|五粮液|000858.SZ|2025-12-30|4167.29|4167.12|13.08|14.66|2.92|3.15|12.28|12.86|4.67|5.07|4.35|5.35|492.47|4170.98|2807.92|6.6|
|五粮液|000858.SZ|2025-12-29|4194.47|4194.29|13.17|14.75|2.94|3.17|12.36|12.95|4.7|5.1|4.32|5.32|495.68|4198.16|2835.1|6.66|
|五粮液|000858.SZ|2025-12-26|4261.23|4261.05|13.38|14.99|2.99|3.22|12.56|13.15|4.78|5.18|4.25|5.24|503.57|4264.92|2901.86|6.82|
|五粮液|000858.SZ|2025-12-25|4293.06|4292.88|13.48|15.1|3.01|3.24|12.65|13.25|4.81|5.22|4.22|5.2|507.33|4296.75|2933.69|6.9|
|五粮液|000858.SZ|2025-12-24|4241.82|4241.64|13.32|14.92|2.98|3.2|12.5|13.09|4.76|5.16|4.27|5.26|501.27|4245.51|2882.45|6.77|
|五粮液|000858.SZ|2025-12-23|4258.9|4258.72|13.37|14.98|2.99|3.21|12.55|13.15|4.78|5.18|4.26|5.24|503.29|4262.59|2899.53|6.81|
|五粮液|000858.SZ|2025-12-22|4282.58|4282.4|13.44|15.06|3.01|3.23|12.62|13.22|4.8|5.21|4.23|5.21|506.09|4286.27|2923.21|6.87|
|五粮液|000858.SZ|2025-12-19|4290.34|4290.16|13.47|15.09|3.01|3.24|12.64|13.24|4.81|5.22|4.23|5.2|507.01|4294.03|2930.97|6.89|
|五粮液|000858.SZ|2025-12-18|4286.46|4286.28|13.46|15.08|3.01|3.24|12.63|13.23|4.81|5.21|4.23|5.2|506.55|4290.15|2927.09|6.88|
|五粮液|000858.SZ|2025-12-17|4401.74|4401.56|13.82|15.48|3.09|3.09|12.97|13.59|4.94|5.35|4.12|5.07|520.17|4405.43|3042.37|7.15|
|五粮液|000858.SZ|2025-12-16|4386.22|4386.03|13.77|15.43|3.08|3.08|12.92|13.54|4.92|5.34|4.13|5.08|518.34|4389.91|3026.85|7.11|
|五粮液|000858.SZ|2025-12-15|4364.87|4364.68|13.7|15.35|3.06|3.06|12.86|13.47|4.89|5.31|4.15|5.11|515.81|4368.56|3005.5|7.06|
|五粮液|000858.SZ|2025-12-12|4331.87|4331.69|13.6|15.23|3.04|3.04|12.76|13.37|4.86|5.27|4.18|5.15|511.92|4335.56|2972.5|6.99|
|五粮液|000858.SZ|2025-12-11|4343.52|4343.34|13.64|15.28|3.05|3.05|12.8|13.41|4.87|5.28|4.17|5.13|513.29|4347.21|2984.15|7.01|
|五粮液|000858.SZ|2025-12-10|4332.65|4332.47|13.6|15.24|3.04|3.04|12.77|13.38|4.86|5.27|4.18|5.15|512.01|4336.34|2973.28|6.99|
|五粮液|000858.SZ|2025-12-09|4303.93|4303.75|13.51|15.14|3.02|3.02|12.68|13.29|4.83|5.24|4.21|5.18|508.61|4307.62|2944.56|6.92|
|五粮液|000858.SZ|2025-12-08|4396.7|4396.51|13.8|15.46|3.09|3.09|12.95|13.57|4.93|5.35|4.12|5.07|519.58|4400.39|3037.33|7.14|
|五粮液|000858.SZ|2025-12-05|4462.3|4462.11|14.01|15.69|3.13|3.13|13.15|13.78|5|5.43|4.06|5|527.33|4465.99|3102.93|7.29|
|五粮液|000858.SZ|2025-12-04|4442.5|4442.31|13.95|15.62|3.12|3.12|13.09|13.71|4.98|5.4|4.08|5.02|524.99|4446.19|3083.13|7.25|
|五粮液|000858.SZ|2025-12-03|4487.14|4486.95|14.09|15.78|3.15|3.15|13.22|13.85|5.03|5.46|4.04|4.97|530.26|4490.83|3127.77|7.35|
|五粮液|000858.SZ|2025-12-02|4524.79|4524.6|14.21|15.91|3.18|3.18|13.33|13.97|5.07|5.5|4.01|4.93|534.71|4528.48|3165.42|7.44|
|五粮液|000858.SZ|2025-12-01|4566.71|4566.52|14.34|16.06|3.2|3.2|13.46|14.1|5.12|5.56|3.97|4.88|539.67|4570.4|3207.34|7.54|
|五粮液|000858.SZ|2025-11-28|4574.48|4574.28|14.36|16.09|3.21|3.21|13.48|14.12|5.13|5.56|3.96|4.87|540.59|4578.16|3215.11|7.56|
