name,code,asof,close,hi52,hi52_date,lo52,lo52_date,off_hi52_pct,off_lo52_pct,ma20,ma60,ma120,ma_arrange,price_vs_ma20,ret20d_pct,ret60d_pct,vol20_vs_prev60,vol5_vs_20,n_bars
恒瑞医药,600276_SH,2026-07-17,53.19,72.18,2025-09-05,45.94,2026-06-08,-26.3,15.8,53.44,51.81,54.14,纠缠,下方,9.9,-5.2,1.62,1.01,242
百济神州-U,688235_SH,2026-07-17,250.51,326.08,2025-09-03,208.0,2026-06-11,-23.2,20.4,255.65,241.9,248.89,纠缠,下方,14.8,2.2,1.8,0.97,242
药明康德,603259_SH,2026-07-17,117.89,131.5,2026-07-15,81.04,2025-07-18,-10.3,45.5,120.52,107.68,101.93,多头,下方,14.8,20.1,1.75,1.06,242
信达生物,01801_HK,2026-07-17,88.95,107.0,2025-09-03,72.95,2026-06-11,-16.9,21.9,84.47,82.91,83.82,纠缠,上方,18.8,-2.4,1.37,1.2,245
科伦药业,002422_SZ,2026-07-17,44.91,49.9,2026-07-16,28.43,2025-12-30,-10.0,58.0,42.72,36.99,34.61,多头,上方,25.0,34.1,2.34,1.3,242
华东医药,000963_SZ,2026-07-17,30.1,44.84,2025-08-25,26.41,2026-06-26,-32.9,14.0,29.28,29.89,32.49,空头,上方,6.2,-10.7,2.14,1.2,242
复星医药,600196_SH,2026-07-17,23.4,32.15,2025-09-16,21.21,2026-06-26,-27.2,10.3,23.11,23.47,24.92,空头,上方,7.4,-9.5,1.91,1.24,242
