date,open,close,high,low,volume,amount
2025-01-02,48.395,46.405,48.425,46.085,948579.000,
2025-01-03,46.695,45.995,46.785,45.775,551352.000,
2025-01-06,46.245,46.035,46.315,45.525,413490.000,
2025-01-07,45.885,45.865,46.055,45.505,392787.000,
2025-01-08,45.875,45.995,46.275,45.245,510383.000,
2025-01-09,45.955,45.505,46.105,45.495,400821.000,
2025-01-10,45.515,44.645,45.775,44.595,522704.000,
2025-01-13,44.175,44.285,44.495,43.795,511393.000,
2025-01-14,44.285,45.055,45.275,44.195,615774.000,
2025-01-15,44.945,44.805,45.355,44.605,458029.000,
2025-01-16,44.995,44.945,45.445,44.625,415761.000,
2025-01-17,44.795,45.075,45.265,44.465,460747.000,
2025-01-20,45.415,45.505,45.995,45.355,491736.000,
2025-01-21,45.895,45.595,46.085,45.355,409951.000,
2025-01-22,45.415,44.645,45.615,44.545,530780.000,
2025-01-23,45.515,46.065,47.145,45.475,969105.000,
2025-01-24,45.875,46.555,47.065,45.795,616779.000,
2025-01-27,46.725,46.545,47.315,46.505,524547.000,
2025-02-05,46.675,45.415,46.695,45.365,583072.000,
2025-02-06,45.425,45.945,46.195,45.375,415037.000,
2025-02-07,45.875,46.575,47.135,45.535,725812.000,
2025-02-10,46.585,46.595,47.055,46.495,431815.000,
2025-02-11,46.895,46.215,46.935,46.065,381844.000,
2025-02-12,46.215,46.775,46.815,45.875,446994.000,
2025-02-13,46.615,46.715,47.475,46.505,590363.000,
2025-02-14,46.685,47.395,47.555,46.495,599772.000,
2025-02-17,47.525,47.535,48.075,47.105,625710.000,
2025-02-18,47.365,47.005,47.875,46.895,650082.000,
2025-02-19,46.885,47.145,47.525,46.715,464426.000,
2025-02-20,46.925,46.475,47.005,46.355,515385.000,
2025-02-21,46.685,46.895,47.195,46.155,668761.000,
2025-02-24,46.895,47.695,48.175,46.745,835823.000,
2025-02-25,47.195,46.675,47.795,46.545,642429.000,
2025-02-26,46.795,47.315,47.475,46.725,536578.000,
2025-02-27,47.475,47.315,47.495,46.815,547240.000,
2025-02-28,47.095,46.075,47.345,46.075,805268.000,
2025-03-03,46.245,46.025,46.515,45.755,423161.000,
2025-03-04,45.775,45.775,45.985,45.695,372432.000,
2025-03-05,45.875,46.075,46.245,45.705,455072.000,
2025-03-06,46.465,47.335,47.625,46.225,1045821.000,
2025-03-07,47.295,47.195,47.535,47.015,481479.000,
2025-03-10,47.205,46.945,47.355,46.475,611283.000,
2025-03-11,46.405,47.195,47.195,46.295,529147.000,
2025-03-12,47.195,46.845,47.295,46.705,470578.000,
2025-03-13,46.845,46.835,47.245,46.625,411448.000,
2025-03-14,47.025,49.165,49.585,46.905,1502449.000,
2025-03-17,49.165,49.075,49.315,48.795,605172.000,
2025-03-18,49.395,49.455,49.885,49.335,587740.000,
2025-03-19,49.375,49.765,49.995,49.265,509874.000,
2025-03-20,49.745,48.185,49.755,47.925,1140723.000,
2025-03-21,48.095,47.445,48.355,47.375,795715.000,
2025-03-24,47.515,47.825,47.975,47.515,508657.000,
2025-03-25,47.845,47.655,47.905,47.515,344402.000,
2025-03-26,47.675,47.415,47.785,47.415,403995.000,
2025-03-27,47.405,47.755,48.145,47.225,432169.000,
2025-03-28,47.895,47.655,48.065,47.545,353664.000,
2025-03-31,47.595,47.325,47.945,47.085,468390.000,
2025-04-01,47.295,47.315,47.555,47.105,394321.000,
2025-04-02,47.275,47.555,47.655,47.225,283274.000,
2025-04-03,47.085,47.175,47.695,47.075,373348.000,
2025-04-07,44.995,44.255,45.465,42.695,1727558.000,
2025-04-08,44.245,44.955,44.955,43.795,1117530.000,
2025-04-09,44.495,44.625,44.945,44.055,737907.000,
2025-04-10,45.055,45.175,45.495,44.905,657915.000,
2025-04-11,45.175,45.045,45.235,44.675,450121.000,
2025-04-14,45.295,45.175,45.545,45.135,387484.000,
2025-04-15,45.175,45.525,45.665,44.955,407762.000,
2025-04-16,45.415,45.575,45.865,45.095,467924.000,
2025-04-17,45.385,45.855,45.975,45.275,377043.000,
2025-04-18,45.745,46.135,46.355,45.645,338811.000,
2025-04-21,46.095,45.975,46.305,45.895,263784.000,
2025-04-22,45.895,46.265,46.485,45.815,355098.000,
2025-04-23,46.455,46.395,46.645,46.155,298773.000,
2025-04-24,46.395,46.915,47.175,46.395,423839.000,
2025-04-25,46.935,47.025,47.285,46.915,368499.000,
2025-04-28,46.115,46.905,47.035,45.725,518666.000,
2025-04-29,46.865,46.695,47.335,46.555,337540.000,
2025-04-30,46.795,46.405,47.245,46.375,377944.000,
2025-05-06,46.695,46.495,46.845,46.245,391512.000,
2025-05-07,47.115,46.875,47.325,46.725,420640.000,
2025-05-08,46.705,47.655,48.045,46.595,671350.000,
2025-05-09,47.605,47.445,47.855,47.445,290709.000,
2025-05-12,47.925,48.295,48.445,47.695,577372.000,
2025-05-13,48.485,48.155,48.485,47.945,403920.000,
2025-05-14,48.145,50.385,50.875,48.035,1577230.000,
2025-05-15,50.085,49.945,50.495,49.795,569303.000,
2025-05-16,49.745,49.085,50.135,49.075,466130.000,
2025-05-19,48.985,48.995,49.425,48.895,324266.000,
2025-05-20,49.145,49.375,49.875,49.095,352669.000,
2025-05-21,49.395,49.545,50.095,49.395,333066.000,
2025-05-22,49.455,49.535,49.685,49.225,240658.000,
2025-05-23,49.505,48.925,50.155,48.865,430491.000,
2025-05-26,48.855,49.095,49.845,48.695,388130.000,
2025-05-27,49.095,49.095,49.555,48.995,255725.000,
2025-05-28,49.095,48.985,49.385,48.815,261698.000,
2025-05-29,48.995,49.215,49.525,48.785,348683.000,
2025-05-30,49.065,48.975,49.385,48.545,417239.000,
2025-06-03,48.905,49.545,49.805,48.695,453738.000,
2025-06-04,49.305,49.455,49.845,49.305,430897.000,
2025-06-05,49.465,49.685,49.875,49.355,419100.000,
2025-06-06,49.695,49.105,49.815,49.045,408553.000,
2025-06-09,49.245,49.415,49.635,49.195,397887.000,
2025-06-10,49.405,49.125,49.795,49.005,467079.000,
2025-06-11,49.095,50.155,50.345,49.095,681830.000,
2025-06-12,49.995,50.505,51.025,49.725,589999.000,
2025-06-13,50.525,50.175,50.595,49.975,480229.000,
2025-06-16,50.025,50.015,50.275,49.755,496771.000,
2025-06-17,49.995,49.925,50.205,49.635,506289.000,
2025-06-18,49.875,49.505,49.975,48.995,469364.000,
2025-06-19,49.385,48.895,49.495,48.815,401881.000,
2025-06-20,48.885,50.435,50.555,48.885,847430.000,
2025-06-23,50.195,50.795,50.945,49.955,614705.000,
