公司,代码,分组,2025营收_亿,2025营收同比,2025归母_亿,2025归母同比,2026Q1营收_亿,Q1营收同比,2026Q1归母_亿,Q1归母同比,2026H1预告归母_亿,H1预告同比,来源
中信证券,600030.SH,券商,748.54,+28.79%,300.76,+38.58%,231.55,+40.9%,102.16,+54.6%,233,+70%,T1公司披露(年报/一季报/业绩预告)经媒体转述
华泰证券,601688.SH,券商,,+6.83%,164,+7.0%(扣非+80%),104.22,+41.5%,48.01,+31.8%,113.24-117.02,+50%~55%,T1公司披露(年报/一季报/业绩预告)经媒体转述
东方财富,300059.SZ,券商,160.68,+38.46%,120.85,+25.75%,10.63,+31.0%,37.38,+37.7%,未披露(深市非强制),—,T1公司披露(年报/一季报)经媒体转述
中国平安,601318.SH,保险,10505,+2.1%,1348,+6.5%,2184.05,-6.2%,250.22,-7.4%,—,—,T1公司披露(年报/一季报)经媒体转述
中国太保,601601.SH,保险,4351.6,+7.7%,535.0,+19.0%,925.47,-1.2%,100.41,+4.3%,—,—,T1公司披露(年报/一季报)经媒体转述
中国人寿,601628.SH,保险,6156.78,+16.5%,1540.78,+44.1%,932.91,-15.3%,195.05,-32.3%,—,—,T1公司披露(年报/一季报)经媒体转述
券商行业(50家上市),—,券商,5937,+35%,2300,+43%,—,—,—,—,16家沪市合计896-939,+59%~67%,T3券商研报统计(国海证券2026-05-06;东方财富网2026-07-17)
