trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,688111.SH,285.0,286.0,264.2,266.66,76100.0,
2025-01-03,688111.SH,266.66,269.2,261.61,261.68,28500.0,
2025-01-06,688111.SH,261.69,263.8,254.83,257.65,34300.0,
2025-01-07,688111.SH,258.69,261.24,256.56,261.24,18200.0,
2025-01-08,688111.SH,260.17,262.0,249.05,257.78,49600.0,
2025-01-09,688111.SH,255.77,266.33,255.0,262.44,44000.0,
2025-01-10,688111.SH,261.89,268.0,255.51,255.51,47600.0,
2025-01-13,688111.SH,251.68,260.42,251.18,255.0,36200.0,
2025-01-14,688111.SH,256.28,278.98,253.99,276.0,98000.0,
2025-01-15,688111.SH,275.1,279.0,273.01,274.9,21700.0,
2025-01-16,688111.SH,275.65,285.66,273.01,274.82,46000.0,
2025-01-17,688111.SH,274.0,283.9,273.1,276.15,39300.0,
2025-01-20,688111.SH,278.94,283.0,276.3,279.6,24300.0,
2025-01-21,688111.SH,280.0,282.0,276.01,279.8,21400.0,
2025-01-22,688111.SH,278.9,279.33,274.11,277.19,18700.0,
2025-01-23,688111.SH,279.0,287.33,277.28,282.53,36300.0,
2025-01-24,688111.SH,282.0,307.8,281.3,305.03,93800.00000000001,
2025-01-27,688111.SH,320.28,324.51,313.2,314.0,37100.0,
2025-02-05,688111.SH,350.0,376.8,340.0,371.11,117200.0,
2025-02-06,688111.SH,363.96,371.5,356.46,366.5,40500.0,
2025-02-07,688111.SH,368.0,383.8,365.0,373.86,51300.0,
2025-02-10,688111.SH,373.94,382.22,362.0,377.46,54100.0,
2025-02-11,688111.SH,374.08,388.33,372.59,377.97,41700.0,
2025-02-12,688111.SH,376.89,402.84,374.23,393.09,75700.0,
2025-02-13,688111.SH,392.0,408.68,384.76,386.0,60900.0,
2025-02-14,688111.SH,380.0,388.0,368.8,384.0,49700.0,
2025-02-17,688111.SH,392.0,395.0,371.5,376.0,61200.0,
2025-02-18,688111.SH,372.0,376.5,357.09,360.0,51600.0,
2025-02-19,688111.SH,358.01,367.99,357.0,365.0,30500.0,
2025-02-20,688111.SH,364.27,369.0,359.3,364.39,26600.0,
2025-02-21,688111.SH,364.43,372.79,355.25,371.6,48099.99999999999,
2025-02-24,688111.SH,366.0,385.0,363.0,373.72,59200.0,
2025-02-25,688111.SH,364.79,373.33,361.02,366.5,32900.0,
2025-02-26,688111.SH,367.68,369.87,361.0,363.6,24200.0,
2025-02-27,688111.SH,365.0,366.0,346.56,352.5,53500.0,
2025-02-28,688111.SH,354.44,362.33,344.03,346.19,51900.00000000001,
2025-03-03,688111.SH,355.0,368.0,351.0,356.01,49100.0,
2025-03-04,688111.SH,355.85,365.65,352.6,355.48,36700.0,
2025-03-05,688111.SH,355.55,358.8,353.21,355.52,15700.0,
2025-03-06,688111.SH,370.0,401.99,368.12,398.08,95300.0,
2025-03-07,688111.SH,390.3,398.0,388.0,391.88,25099.999999999996,
2025-03-10,688111.SH,390.02,391.34,356.66,364.0,88500.0,
2025-03-11,688111.SH,359.0,364.0,352.0,355.89,33000.0,
2025-03-12,688111.SH,360.71,362.84,356.09,357.5,19000.0,
2025-03-13,688111.SH,356.5,358.42,347.33,349.8,31000.0,
2025-03-14,688111.SH,348.0,353.93,346.85,353.0,20200.0,
2025-03-17,688111.SH,353.16,355.98,344.27,346.1,33200.0,
2025-03-18,688111.SH,348.08,350.92,342.0,344.3,25800.0,
2025-03-19,688111.SH,344.5,344.93,337.06,339.0,22900.0,
2025-03-20,688111.SH,340.0,341.48,320.03,323.6,63300.0,
2025-03-21,688111.SH,322.5,322.5,308.35,309.38,43700.0,
2025-03-24,688111.SH,309.0,315.3,306.1,312.93,29700.000000000004,
2025-03-25,688111.SH,313.5,319.77,306.68,313.42,41800.0,
2025-03-26,688111.SH,313.0,317.77,310.33,311.0,23700.0,
2025-03-27,688111.SH,309.09,313.28,304.15,305.17,29400.0,
2025-03-28,688111.SH,305.59,307.91,302.11,303.8,19000.0,
2025-03-31,688111.SH,294.0,301.86,292.44,299.12,31000.0,
2025-04-01,688111.SH,301.0,304.93,295.03,295.48,33100.0,
2025-04-02,688111.SH,296.0,300.79,295.5,297.86,17900.0,
2025-04-03,688111.SH,294.99,307.9,294.99,304.48,43300.0,
2025-04-07,688111.SH,290.0,301.0,266.58,281.03,113000.0,
2025-04-08,688111.SH,281.55,287.58,278.02,286.3,34000.0,
2025-04-09,688111.SH,282.0,309.97,282.0,303.95,97700.0,
2025-04-10,688111.SH,311.15,312.0,298.53,301.72,44300.0,
2025-04-11,688111.SH,300.89,309.68,296.22,308.0,44600.0,
2025-04-14,688111.SH,308.0,308.9,302.34,303.6,21300.0,
2025-04-15,688111.SH,303.2,304.65,296.66,300.76,26300.0,
2025-04-16,688111.SH,300.78,308.0,296.01,308.0,39900.0,
2025-04-17,688111.SH,304.9,315.35,304.2,310.5,36200.0,
2025-04-18,688111.SH,307.59,310.5,305.08,307.03,17500.0,
2025-04-21,688111.SH,305.08,310.94,302.06,309.5,28900.0,
2025-04-22,688111.SH,307.98,309.5,301.73,303.69,25099.999999999996,
2025-04-23,688111.SH,305.88,308.8,300.05,300.54,28800.0,
2025-04-24,688111.SH,297.0,297.0,279.0,282.52,59900.0,
2025-04-25,688111.SH,283.0,286.66,279.16,284.84,26500.0,
2025-04-28,688111.SH,284.8,289.29,280.12,283.23,32200.000000000004,
2025-04-29,688111.SH,282.0,286.34,280.0,281.42,22400.000000000004,
2025-04-30,688111.SH,281.26,295.95,280.55,293.19,54700.0,
2025-05-06,688111.SH,297.53,313.88,297.53,309.05,55800.0,
2025-05-07,688111.SH,315.01,315.87,304.88,307.59,35600.0,
2025-05-08,688111.SH,305.5,309.36,304.75,306.21,15000.0,
2025-05-09,688111.SH,305.0,306.3,300.1,300.18,20200.0,
2025-05-12,688111.SH,301.88,302.6,295.02,298.08,25299.999999999996,
2025-05-13,688111.SH,300.78,302.78,296.68,298.0,20500.0,
2025-05-14,688111.SH,298.0,303.88,294.5,298.5,31500.0,
2025-05-15,688111.SH,298.0,298.0,289.0,290.03,30200.0,
2025-05-16,688111.SH,288.88,290.9,287.28,290.45,12500.0,
2025-05-19,688111.SH,290.06,290.45,284.0,284.9,22200.000000000004,
2025-05-20,688111.SH,285.51,290.88,284.78,285.57,21400.0,
2025-05-21,688111.SH,285.9,287.78,283.54,284.7,14800.0,
2025-05-22,688111.SH,284.16,287.89,281.8,282.0,21400.0,
2025-05-23,688111.SH,282.12,285.28,279.36,279.36,21000.0,
2025-05-26,688111.SH,279.25,286.94,276.62,285.91,36900.0,
2025-05-27,688111.SH,284.51,285.7,277.77,278.5,27700.0,
2025-05-28,688111.SH,278.21,280.68,275.37,275.6,19100.0,
2025-05-29,688111.SH,275.1,287.99,275.1,286.3,46800.0,
2025-05-30,688111.SH,283.96,286.29,280.11,281.79,21600.0,
2025-06-03,688111.SH,279.0,283.6,278.62,279.23,17700.0,
2025-06-04,688111.SH,280.3,287.88,278.18,286.83,34700.0,
2025-06-05,688111.SH,288.18,292.19,286.2,291.68,20900.0,
2025-06-06,688111.SH,290.81,292.88,286.0,286.77,23600.0,
2025-06-09,688111.SH,286.43,299.94,286.43,293.44,47100.0,
2025-06-10,688111.SH,292.5,293.0,278.0,279.27,51100.0,
2025-06-11,688111.SH,279.7,283.01,276.18,279.85,24500.0,
2025-06-12,688111.SH,278.0,279.0,272.2,274.87,24300.0,
2025-06-13,688111.SH,273.02,274.39,269.0,270.75,19600.0,
2025-06-16,688111.SH,268.0,276.66,267.0,276.0,35700.0,
2025-06-17,688111.SH,274.6,277.47,272.31,273.48,18700.0,
2025-06-18,688111.SH,272.99,276.0,270.21,273.91,21200.0,
2025-06-19,688111.SH,273.0,277.46,269.5,270.3,29100.0,
2025-06-20,688111.SH,270.3,272.36,261.01,261.22,42000.0,
2025-06-23,688111.SH,259.5,264.85,258.89,262.51,22799.999999999996,
2025-06-24,688111.SH,263.88,269.5,262.66,268.57,26100.0,
2025-06-25,688111.SH,268.9,280.96,266.94,278.96,52200.0,
2025-06-26,688111.SH,278.96,282.96,276.28,276.88,23900.0,
2025-06-27,688111.SH,278.0,280.6,274.21,274.55,23100.0,
2025-06-30,688111.SH,273.15,283.7,273.1,280.05,38600.0,
2025-07-01,688111.SH,279.51,280.35,275.51,275.95,17300.0,
2025-07-02,688111.SH,274.32,275.5,270.63,271.5,17600.0,
2025-07-03,688111.SH,272.97,275.49,270.0,271.54,20200.0,
2025-07-04,688111.SH,270.5,274.96,266.56,270.6,30900.0,
2025-07-07,688111.SH,269.31,270.69,262.22,263.4,31300.0,
2025-07-08,688111.SH,262.53,273.8,262.51,272.98,42900.0,
2025-07-09,688111.SH,272.98,273.5,269.28,269.96,15500.0,
2025-07-10,688111.SH,270.33,271.22,266.89,268.0,16000.0,
2025-07-11,688111.SH,267.45,274.79,265.05,269.65,36500.0,
2025-07-14,688111.SH,269.65,270.8,264.1,264.3,24800.0,
2025-07-15,688111.SH,264.72,284.5,264.02,282.25,77500.0,
2025-07-16,688111.SH,284.9,289.0,279.89,280.9,32300.0,
2025-07-17,688111.SH,280.0,284.0,276.56,282.99,26500.0,
2025-07-18,688111.SH,287.04,299.8,285.83,292.58,49400.00000000001,
2025-07-21,688111.SH,290.58,296.0,286.6,289.37,32100.0,
2025-07-22,688111.SH,287.9,290.3,284.5,288.2,20000.0,
2025-07-23,688111.SH,287.0,298.87,286.02,292.58,44600.0,
2025-07-24,688111.SH,292.3,296.0,290.41,295.1,19100.0,
2025-07-25,688111.SH,294.02,306.98,293.0,305.53,47400.0,
2025-07-28,688111.SH,304.69,307.2,300.5,301.53,21900.0,
2025-07-29,688111.SH,301.0,308.35,299.68,303.12,28800.0,
2025-07-30,688111.SH,302.0,312.42,300.5,304.63,39300.0,
2025-07-31,688111.SH,309.95,324.2,306.0,313.5,59700.0,
2025-08-01,688111.SH,317.0,319.8,300.33,307.39,62100.0,
2025-08-04,688111.SH,307.0,311.8,302.6,311.8,29900.000000000004,
2025-08-05,688111.SH,314.27,317.98,307.01,309.9,35200.0,
2025-08-06,688111.SH,309.0,310.99,304.8,309.66,20000.0,
2025-08-07,688111.SH,309.0,312.66,305.37,307.88,23500.0,
2025-08-08,688111.SH,306.2,306.2,287.5,288.38,60700.0,
2025-08-11,688111.SH,288.0,294.68,286.53,293.0,28300.0,
2025-08-12,688111.SH,292.0,294.68,289.01,290.07,19400.0,
2025-08-13,688111.SH,291.72,295.5,288.7,290.21,23400.0,
2025-08-14,688111.SH,290.31,292.59,286.0,288.31,22700.0,
2025-08-15,688111.SH,286.2,293.5,284.01,290.7,32900.0,
2025-08-18,688111.SH,292.1,308.0,291.01,302.0,58400.0,
2025-08-19,688111.SH,300.9,305.99,296.25,296.35,32300.0,
2025-08-20,688111.SH,295.5,302.0,290.7,300.99,38100.0,
2025-08-21,688111.SH,301.0,308.37,299.0,299.63,31100.0,
2025-08-22,688111.SH,299.0,332.0,299.0,329.36,110100.0,
2025-08-25,688111.SH,333.76,337.97,318.0,323.62,60599.99999999999,
2025-08-26,688111.SH,321.99,327.88,320.0,320.82,24300.0,
2025-08-27,688111.SH,340.0,346.0,323.36,323.8,70600.0,
2025-08-28,688111.SH,322.0,338.5,315.6,338.0,70700.0,
2025-08-29,688111.SH,339.0,344.01,329.3,334.5,43500.0,
2025-09-01,688111.SH,331.63,341.99,325.0,332.2,50800.0,
2025-09-02,688111.SH,332.95,339.89,320.72,322.8,57699.99999999999,
2025-09-03,688111.SH,322.9,324.77,311.11,314.0,42300.00000000001,
2025-09-04,688111.SH,313.31,316.0,290.0,295.01,82800.0,
2025-09-05,688111.SH,294.3,300.17,290.5,298.37,32800.0,
2025-09-08,688111.SH,298.58,305.26,293.84,301.4,38300.0,
2025-09-09,688111.SH,299.5,300.0,292.5,294.3,24900.000000000004,
2025-09-10,688111.SH,297.7,302.6,296.96,298.5,19200.0,
2025-09-11,688111.SH,298.5,309.99,298.1,307.86,39800.0,
2025-09-12,688111.SH,309.0,316.33,306.36,306.36,32400.000000000004,
2025-09-15,688111.SH,306.3,311.68,303.0,305.6,28300.0,
2025-09-16,688111.SH,305.0,317.98,305.0,312.49,42500.0,
2025-09-17,688111.SH,312.19,314.45,307.17,309.74,23300.0,
2025-09-18,688111.SH,311.48,325.66,307.5,311.0,58600.0,
2025-09-19,688111.SH,308.0,314.66,305.5,305.5,29500.0,
2025-09-22,688111.SH,305.52,310.8,303.52,307.48,23800.0,
2025-09-23,688111.SH,306.99,307.48,288.5,295.46,61700.0,
2025-09-24,688111.SH,293.0,310.88,292.96,310.84,60700.0,
2025-09-25,688111.SH,312.44,325.0,311.69,318.54,42800.0,
2025-09-26,688111.SH,315.0,317.99,304.5,305.0,42300.00000000001,
2025-09-29,688111.SH,304.99,309.88,302.02,307.49,25800.0,
2025-09-30,688111.SH,313.49,320.0,310.88,316.5,29700.000000000004,
2025-10-09,688111.SH,315.4,328.86,304.05,318.93,78400.0,
2025-10-10,688111.SH,315.0,315.88,295.0,297.0,65500.0,
2025-10-13,688111.SH,316.31,351.0,316.31,321.7,116800.0,
2025-10-14,688111.SH,314.0,318.5,302.18,310.15,50700.0,
2025-10-15,688111.SH,307.05,316.3,301.11,312.93,49000.0,
2025-10-16,688111.SH,308.0,310.0,303.39,305.55,21100.0,
2025-10-17,688111.SH,303.11,306.8,296.23,297.59,34600.0,
2025-10-20,688111.SH,300.0,302.49,295.92,298.75,22100.0,
2025-10-21,688111.SH,300.0,303.5,298.0,300.31,18400.0,
2025-10-22,688111.SH,299.8,299.8,293.0,293.18,22599.999999999996,
2025-10-23,688111.SH,296.99,300.85,292.0,300.67,30200.0,
2025-10-24,688111.SH,300.9,305.88,299.31,304.0,21900.0,
2025-10-27,688111.SH,306.0,317.71,303.42,317.0,47000.0,
2025-10-28,688111.SH,331.0,359.39,331.0,337.21,89600.00000000001,
2025-10-29,688111.SH,335.53,339.69,327.14,337.71,37200.0,
2025-10-30,688111.SH,335.39,358.0,332.99,345.04,74100.0,
2025-10-31,688111.SH,345.0,367.77,345.0,358.99,66000.0,
2025-11-03,688111.SH,363.0,372.98,352.72,359.88,56400.0,
2025-11-04,688111.SH,354.01,359.88,347.3,350.21,35000.0,
2025-11-05,688111.SH,341.5,346.0,336.79,343.78,26300.0,
2025-11-06,688111.SH,342.0,343.7,334.11,341.91,27900.0,
2025-11-07,688111.SH,339.0,339.91,328.51,329.99,33300.0,
2025-11-10,688111.SH,332.35,335.02,326.67,330.5,25299.999999999996,
2025-11-11,688111.SH,329.0,332.56,320.33,321.8,37000.0,
2025-11-12,688111.SH,320.52,322.3,316.0,317.8,19600.0,
2025-11-13,688111.SH,317.82,323.9,317.82,321.62,19100.0,
2025-11-14,688111.SH,319.96,321.5,310.9,311.0,33000.0,
2025-11-17,688111.SH,310.2,317.0,310.03,313.4,22400.000000000004,
2025-11-18,688111.SH,313.68,324.79,310.53,318.67,45500.0,
2025-11-19,688111.SH,319.5,323.44,316.13,318.3,22900.0,
2025-11-20,688111.SH,317.24,319.2,307.21,307.55,37700.0,
2025-11-21,688111.SH,304.99,311.5,304.1,305.71,24100.0,
2025-11-24,688111.SH,309.31,323.95,303.33,323.0,67400.0,
2025-11-25,688111.SH,323.5,329.98,318.01,319.0,37100.0,
2025-11-26,688111.SH,317.0,324.76,315.67,319.45,28500.0,
2025-11-27,688111.SH,317.5,319.4,311.56,312.02,24500.0,
2025-11-28,688111.SH,311.93,314.37,309.5,311.31,15600.0,
2025-12-01,688111.SH,311.0,318.2,308.2,317.08,32100.0,
2025-12-02,688111.SH,317.08,317.74,307.28,309.3,33000.0,
2025-12-03,688111.SH,309.0,309.93,302.01,303.49,25600.0,
2025-12-04,688111.SH,302.0,305.31,300.05,301.19,17300.0,
2025-12-05,688111.SH,301.19,304.99,299.13,304.83,19500.0,
2025-12-08,688111.SH,305.03,307.93,304.5,305.45,11299.999999999998,
2025-12-09,688111.SH,305.45,307.66,300.61,303.22,23100.0,
2025-12-10,688111.SH,300.87,306.0,298.01,306.0,26400.0,
2025-12-11,688111.SH,304.0,304.5,296.0,296.01,27799.999999999996,
2025-12-12,688111.SH,295.05,308.42,294.54,307.9,46900.00000000001,
2025-12-15,688111.SH,304.0,309.39,303.02,307.6,20700.0,
2025-12-16,688111.SH,307.09,309.89,304.96,307.31,16000.0,
2025-12-17,688111.SH,307.31,312.7,305.33,312.42,24000.0,
2025-12-18,688111.SH,309.21,314.3,306.95,306.95,23500.0,
2025-12-19,688111.SH,306.58,308.5,302.7,303.6,18900.0,
2025-12-22,688111.SH,303.0,306.98,301.67,303.6,17500.0,
2025-12-23,688111.SH,303.59,309.5,302.3,303.0,23700.0,
2025-12-24,688111.SH,301.77,303.4,301.0,302.04,7900.0,
2025-12-25,688111.SH,303.0,303.28,300.47,302.55,9300.0,
2025-12-26,688111.SH,303.0,305.35,301.03,301.74,14300.0,
2025-12-29,688111.SH,301.0,302.87,298.1,300.08,15800.0,
2025-12-30,688111.SH,299.4,305.55,298.9,304.94,22200.000000000004,
2025-12-31,688111.SH,305.87,311.11,303.73,307.07,24200.0,
2026-01-05,688111.SH,308.1,328.13,308.1,327.0,65199.99999999999,
2026-01-06,688111.SH,325.65,330.0,323.3,329.07,20500.0,
2026-01-07,688111.SH,328.37,328.37,320.02,323.5,25400.0,
2026-01-08,688111.SH,322.0,330.94,318.51,325.5,38400.0,
2026-01-09,688111.SH,324.97,342.5,324.01,341.5,56800.0,
2026-01-12,688111.SH,350.0,386.0,350.0,379.99,105399.99999999999,
2026-01-13,688111.SH,394.93,415.0,370.23,371.79,117800.0,
2026-01-14,688111.SH,370.99,389.57,360.01,368.06,79500.0,
2026-01-15,688111.SH,362.4,377.37,355.58,360.32,59200.0,
2026-01-16,688111.SH,357.0,370.66,351.78,353.29,52400.0,
2026-01-19,688111.SH,350.0,356.82,343.88,345.0,36600.0,
2026-01-20,688111.SH,348.0,349.58,332.53,334.99,49400.00000000001,
2026-01-21,688111.SH,334.0,340.5,331.59,333.4,26600.0,
2026-01-22,688111.SH,335.18,346.6,333.98,343.02,37900.0,
2026-01-23,688111.SH,343.05,362.77,343.05,353.3,57500.0,
2026-01-26,688111.SH,359.35,360.28,346.1,348.5,40100.0,
2026-01-27,688111.SH,352.0,357.13,345.59,353.0,33100.0,
2026-01-28,688111.SH,353.97,359.56,345.0,346.2,41200.0,
2026-01-29,688111.SH,343.0,363.63,338.0,348.01,74000.0,
2026-01-30,688111.SH,344.77,347.5,332.04,336.84,44400.00000000001,
2026-02-02,688111.SH,333.11,337.89,321.06,322.65,50000.0,
2026-02-03,688111.SH,326.0,328.18,319.01,326.53,28400.0,
2026-02-04,688111.SH,322.0,324.28,307.76,314.15,50599.99999999999,
2026-02-05,688111.SH,310.0,314.94,308.14,309.45,21600.0,
2026-02-06,688111.SH,306.91,308.88,303.33,303.62,17900.0,
2026-02-09,688111.SH,307.81,310.68,303.77,307.01,22799.999999999996,
2026-02-10,688111.SH,309.0,314.48,304.0,314.1,34100.0,
2026-02-11,688111.SH,311.49,314.28,308.0,310.7,20000.0,
2026-02-12,688111.SH,311.49,315.0,308.18,313.0,22000.0,
2026-02-13,688111.SH,309.99,312.41,307.0,307.28,17300.0,
2026-02-24,688111.SH,307.99,307.99,292.18,293.81,51500.0,
2026-02-25,688111.SH,294.99,296.6,292.28,295.6,14700.0,
2026-02-26,688111.SH,295.6,301.0,292.71,301.0,28000.0,
2026-02-27,688111.SH,298.0,303.98,296.03,301.16,26400.0,
2026-03-02,688111.SH,295.0,299.3,292.2,293.19,23600.0,
2026-03-03,688111.SH,293.29,301.46,288.02,288.4,45800.0,
2026-03-04,688111.SH,285.6,288.9,280.22,281.33,30099.999999999996,
2026-03-05,688111.SH,286.0,287.0,277.47,279.45,33900.0,
2026-03-06,688111.SH,279.0,285.96,277.6,285.96,29900.000000000004,
2026-03-09,688111.SH,281.81,284.58,275.5,281.09,31800.0,
2026-03-10,688111.SH,287.0,290.59,283.82,285.0,24100.0,
2026-03-11,688111.SH,284.0,287.5,282.78,283.0,16600.0,
2026-03-12,688111.SH,283.09,284.96,278.18,280.09,24000.0,
2026-03-13,688111.SH,279.0,281.58,276.23,278.77,19100.0,
2026-03-16,688111.SH,278.22,278.99,267.5,268.34,41200.0,
2026-03-17,688111.SH,269.69,272.5,267.11,268.06,20099.999999999996,
2026-03-18,688111.SH,268.89,269.9,265.5,268.26,16400.0,
2026-03-19,688111.SH,266.0,266.58,259.8,260.65,25299.999999999996,
2026-03-20,688111.SH,260.8,261.5,251.03,252.7,40199.99999999999,
2026-03-23,688111.SH,248.0,249.8,237.88,239.5,47200.0,
2026-03-24,688111.SH,243.0,244.0,238.6,242.0,22500.0,
2026-03-25,688111.SH,241.8,245.65,240.0,243.11,23300.0,
2026-03-26,688111.SH,245.6,249.5,238.53,240.0,45100.0,
2026-03-27,688111.SH,237.83,242.58,237.5,240.7,21200.0,
2026-03-30,688111.SH,237.5,239.82,235.0,236.79,20000.0,
