Wind代码,证券简称,最新总市值,交易币种,最新市净率PB,最新收盘价,最新市盈率PE,交易币种_2,交易时间
600323.SH,瀚蓝环境,238.5706,CNY,1.6393,29.26,11.1902,CNY,20260717 15:30:57
603568.SH,伟明环保,301.7378,CNY,2.1141,14.73,15.578,CNY,20260717 15:31:05
