Wind代码,证券简称,最新总市值,交易币种,最新市净率,最新市盈率,交易时间
601088.SH,中国神华,9288.9478,CNY,1.992,18.4857,20260717 15:30:55
601225.SH,陕西煤业,2355.885,CNY,2.5254,14.5695,20260717 15:31:00
