Wind代码,证券简称,2026年1季末总市值,交易币种,2026年一季度营业收入同比增长率,2026年一季度归母净利润同比增长率,2026年1季末市盈率,2026年1季末市净率
600900.SH,长江电力,6616.2061,CNY,6.4428,30.5016,19.3643,3.0635
601985.SH,中国核电,1861.4042,CNY,-6.6485,-34.1913,23.7235,1.6163
