name,date,close,hi52,hi52_date,lo52,lo52_date,pos52,dd_from_hi,ma20,ma60,ma120,r20,r60,ytd,vol_ratio
宝钢股份 600019.SH,2026-07-17,5.76,7.58,2025-11-13,5.39,2026-06-26,16.9,-24.0,5.56,5.79,6.23,4.7,-5.1,-20.8,0.87
华菱钢铁 000932.SZ,2026-07-17,3.62,6.63,2026-03-02,3.4,2026-07-09,6.8,-45.4,3.52,3.91,4.76,4.0,-26.0,-33.7,1.18
