trade_date,wind_code,open,high,low,close,volume,amt
2023-01-03,801010.SI,3283.07,3283.07,3226.28,3265.29,1516370000,16135270000
2023-01-04,801010.SI,3258.54,3287.16,3241.38,3272.87,1527280000,15095890000
2023-01-05,801010.SI,3281.35,3281.35,3245.32,3274.73,1644500000,17863190000
2023-01-06,801010.SI,3263.87,3276.19,3246.82,3254.63,1515040000,15370260000
2023-01-09,801010.SI,3249.17,3311.26,3249.13,3307.71,1397400000,16435920000
2023-01-10,801010.SI,3306.01,3306.01,3273.16,3298.99,1243610000,14290890000
2023-01-11,801010.SI,3292.72,3305.73,3269.19,3291.24,1261080000,13892920000
2023-01-12,801010.SI,3286.90,3297.67,3267.63,3270.95,1022290000,11318980000
2023-01-13,801010.SI,3280.95,3349.35,3280.95,3346.18,1435650000,16317720000
2023-01-16,801010.SI,3357.11,3419.92,3356.67,3409.78,1852390000,20041270000
2023-01-17,801010.SI,3411.61,3411.61,3375.49,3384.32,1250310000,13232280000
2023-01-18,801010.SI,3379.02,3379.12,3353.11,3358.56,1067500000,11147970000
2023-01-19,801010.SI,3351.39,3351.39,3332.06,3347.32,1100040000,10818360000
2023-01-20,801010.SI,3357.32,3372.28,3352.06,3366.50,1315350000,13006630000
2023-01-30,801010.SI,3390.81,3401.03,3366.84,3374.13,1730400000,19028600000
2023-01-31,801010.SI,3381.34,3442.32,3381.34,3402.91,1790990000,21400940000
2023-02-01,801010.SI,3402.24,3454.92,3402.24,3454.92,1939880000,20632380000
2023-02-02,801010.SI,3456.78,3483.02,3435.51,3473.98,1838620000,20563270000
2023-02-03,801010.SI,3467.59,3489.10,3433.26,3449.79,1612500000,17732600000
2023-02-06,801010.SI,3430.39,3464.48,3406.17,3459.14,1392260000,15330760000
2023-02-07,801010.SI,3462.49,3467.28,3423.43,3439.11,1344990000,14839130000
2023-02-08,801010.SI,3435.24,3435.24,3401.49,3401.49,1243500000,12633420000
2023-02-09,801010.SI,3398.27,3418.10,3398.26,3418.10,1064050000,11139960000
2023-02-10,801010.SI,3420.09,3445.08,3412.78,3427.14,1693760000,16526330000
2023-02-13,801010.SI,3436.91,3454.15,3397.40,3423.00,1825270000,20018330000
2023-02-14,801010.SI,3435.09,3435.09,3395.28,3406.79,2074890000,22009600000
2023-02-15,801010.SI,3401.33,3401.33,3365.40,3370.51,1317600000,14154250000
2023-02-16,801010.SI,3369.52,3399.07,3307.94,3329.57,1856900000,19207940000
2023-02-17,801010.SI,3331.28,3359.99,3331.28,3333.94,1289920000,14059100000
2023-02-20,801010.SI,3352.85,3371.76,3317.65,3371.73,1291750000,15022960000
2023-02-21,801010.SI,3372.75,3423.96,3371.15,3402.82,1247940000,14814710000
2023-02-22,801010.SI,3401.11,3443.03,3401.11,3432.42,1309490000,17601320000
2023-02-23,801010.SI,3431.45,3457.13,3415.26,3429.61,1399570000,15890660000
2023-02-24,801010.SI,3432.65,3452.55,3408.68,3422.49,1102350000,13517720000
2023-02-27,801010.SI,3428.23,3434.10,3395.93,3404.76,1082850000,12843750000
2023-02-28,801010.SI,3405.31,3424.98,3394.83,3422.68,977010000,11830510000
2023-03-01,801010.SI,3421.63,3427.02,3407.26,3427.02,1017710000,11998880000
2023-03-02,801010.SI,3423.83,3425.53,3401.74,3404.21,992600000,10718290000
2023-03-03,801010.SI,3402.90,3409.76,3379.99,3404.76,1043130000,11058300000
2023-03-06,801010.SI,3403.06,3438.54,3392.48,3423.08,1569790000,17567300000
2023-03-07,801010.SI,3422.17,3422.17,3346.84,3347.02,1483810000,16436330000
2023-03-08,801010.SI,3337.76,3341.05,3320.34,3337.72,940000000,10996610000
2023-03-09,801010.SI,3341.35,3350.37,3300.49,3308.89,938500000,10623380000
2023-03-10,801010.SI,3297.15,3297.15,3263.87,3276.61,1028400000,11516220000
2023-03-13,801010.SI,3267.17,3307.66,3256.03,3306.68,1102400000,12079790000
2023-03-14,801010.SI,3307.11,3386.16,3307.11,3370.27,1654250000,21479850000
2023-03-15,801010.SI,3371.99,3418.07,3371.94,3379.72,1200600000,14869720000
2023-03-16,801010.SI,3372.20,3372.20,3293.89,3293.89,1401030000,15899690000
2023-03-17,801010.SI,3311.40,3311.40,3283.88,3288.72,1209970000,14337160000
2023-03-20,801010.SI,3289.80,3289.84,3241.74,3248.11,1260820000,13918360000
2023-03-21,801010.SI,3252.62,3266.11,3246.62,3266.11,903110000,10072650000
2023-03-22,801010.SI,3271.39,3287.82,3254.98,3269.81,920850000,9916310000
2023-03-23,801010.SI,3262.26,3283.49,3254.71,3270.26,1042720000,10580800000
2023-03-24,801010.SI,3269.20,3289.52,3266.69,3277.16,991990000,10303970000
2023-03-27,801010.SI,3278.76,3308.39,3258.14,3306.70,1265550000,14338890000
2023-03-28,801010.SI,3303.65,3349.97,3301.85,3328.49,1251090000,14856650000
2023-03-29,801010.SI,3325.49,3325.49,3270.34,3274.64,1130300000,12170150000
2023-03-30,801010.SI,3274.64,3300.93,3272.32,3299.58,1096620000,11812090000
2023-03-31,801010.SI,3348.16,3406.67,3348.16,3355.93,1801140000,21675420000
2023-04-03,801010.SI,3344.21,3426.21,3344.21,3397.63,1784680000,21898140000
2023-04-04,801010.SI,3402.19,3481.24,3402.19,3446.78,1854680000,23411690000
2023-04-06,801010.SI,3443.34,3478.69,3408.44,3428.73,1465350000,17427530000
2023-04-07,801010.SI,3421.04,3425.36,3404.20,3405.24,1145570000,13332890000
2023-04-10,801010.SI,3400.94,3413.06,3362.26,3375.48,1316060000,14122630000
2023-04-11,801010.SI,3381.30,3385.22,3356.15,3375.99,1278660000,14375440000
2023-04-12,801010.SI,3376.42,3376.42,3330.56,3336.67,1240970000,13792400000
2023-04-13,801010.SI,3328.03,3335.42,3315.39,3318.92,1204560000,12847770000
2023-04-14,801010.SI,3322.11,3324.06,3288.50,3297.50,1061110000,10974060000
2023-04-17,801010.SI,3302.71,3320.97,3289.05,3320.97,1254640000,13358670000
2023-04-18,801010.SI,3317.82,3322.63,3294.19,3314.11,1130470000,13031160000
2023-04-19,801010.SI,3311.53,3340.64,3299.31,3308.49,1196720000,13513750000
2023-04-20,801010.SI,3306.36,3306.36,3270.28,3286.96,1190550000,13536470000
2023-04-21,801010.SI,3288.18,3315.66,3259.31,3260.92,1411030000,15063860000
2023-04-24,801010.SI,3253.28,3253.28,3192.84,3204.88,1207690000,13264980000
