vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,通威股份 2026年一季报 营业收入 归母净利润 同比增速 毛利率 资产负债率,1,财务报表,,,"|股票名称|股票代码|财务科目名称|财务科目代码|财务科目层级|财务科目父级名称|财务科目父级代码|时间|报告期|核算方式|财务科目数额|展示单位|同比(%)|环比(%)|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|通威股份|600438|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2026-03-31|一季报|累计值|121.25|亿元|-23.90|-|利润表|
|通威股份|600438|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2026-03-31|一季报|累计值|-24.44|亿元|5.72|-|利润表|
|通威股份|600438|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-12-31|年报|累计值|841.28|亿元|-8.55|-|利润表|
|通威股份|600438|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|833.97|亿元|-8.89|-|利润表|
|通威股份|600438|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-12-31|年报|累计值|7.31|亿元|58.18|-|利润表|
|通威股份|600438|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-12-31|年报|累计值|-95.53|亿元|-35.73|-|利润表|
|通威股份|600438|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-09-30|三季报|累计值|646.00|亿元|-5.38|-|利润表|
|通威股份|600438|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-09-30|三季报|累计值|-52.70|亿元|-32.64|-|利润表|
|通威股份|600438|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-06-30|半年报|累计值|405.09|亿元|-7.51|-|利润表|
|通威股份|600438|其中:主营业务收入|SalesRevenue|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|400.03|亿元|-8.05|-|利润表|
|通威股份|600438|其中:其他业务收入|OtherOperatingIncome|3级|营业收入|OperatingRevenue|2025-06-30|半年报|累计值|5.05|亿元|72.48|-|利润表|
|通威股份|600438|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-06-30|半年报|累计值|-49.55|亿元|-58.35|-|利润表|
|通威股份|600438|营业收入|OperatingRevenue|2级|营业总收入|TotalOperatingRevenue|2025-03-31|一季报|累计值|159.33|亿元|-18.58|-|利润表|
|通威股份|600438|归属于母公司所有者的净利润|NPParentCompanyOwners|3级|2)净利润按所有权归属分类|OwnershipCateg|2025-03-31|一季报|累计值|-25.93|亿元|-229.56|-|利润表|",2026-07-18T11:32:49.860447+08:00
gildata,FinQuery,通威股份 2026年一季报 营业收入 归母净利润 同比增速 毛利率 资产负债率,2,财务分析,,,"|股票名称|股票代码|财务分析指标名称|财务分析指标代码|指标类型|核算方式|时间|报告期|财务分析指标数额|展示单位|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|通威股份|600438|销售毛利率|CFI00000001U|区间类型|累计值|2026-03-31|一季报|-4.0282|%|盈利能力|
|通威股份|600438|资产负债率|CFI00000000V|时点类型|累计值|2026-03-31|一季报|74.2306|%|偿债能力|
|通威股份|600438|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2026-03-31|一季报|-23.9015|%|成长能力|
|通威股份|600438|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2026-03-31|一季报|5.7212|%|成长能力|
|通威股份|600438|销售毛利率|CFI00000001U|区间类型|累计值|2025-12-31|年报|2.7005|%|盈利能力|
|通威股份|600438|资产负债率|CFI00000000V|时点类型|累计值|2025-12-31|年报|72.6338|%|偿债能力|
|通威股份|600438|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-12-31|年报|-8.5507|%|成长能力|
|通威股份|600438|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-12-31|年报|-35.726|%|成长能力|
|通威股份|600438|销售毛利率|CFI00000001U|区间类型|累计值|2025-09-30|三季报|2.7415|%|盈利能力|
|通威股份|600438|资产负债率|CFI00000000V|时点类型|累计值|2025-09-30|三季报|71.9541|%|偿债能力|
|通威股份|600438|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-09-30|三季报|-5.3796|%|成长能力|
|通威股份|600438|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-09-30|三季报|-32.6409|%|成长能力|
|通威股份|600438|销售毛利率|CFI00000001U|区间类型|累计值|2025-06-30|半年报|0.073|%|盈利能力|
|通威股份|600438|资产负债率|CFI00000000V|时点类型|累计值|2025-06-30|半年报|71.9294|%|偿债能力|
|通威股份|600438|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-06-30|半年报|-7.508|%|成长能力|
|通威股份|600438|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-06-30|半年报|-58.3463|%|成长能力|
|通威股份|600438|销售毛利率|CFI00000001U|区间类型|累计值|2025-03-31|一季报|-2.875|%|盈利能力|
|通威股份|600438|资产负债率|CFI00000000V|时点类型|累计值|2025-03-31|一季报|72.2509|%|偿债能力|
|通威股份|600438|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2025-03-31|一季报|-18.5843|%|成长能力|
|通威股份|600438|归属母公司股东的净利润-同比增长率|CFI00000001O|区间类型|累计值|2025-03-31|一季报|-229.5573|%|成长能力|",2026-07-18T11:32:49.860447+08:00
