Wind代码,证券简称,最新总市值,交易币种,最新市净率PB,最新市盈率PE,交易时间
002895.SZ,川恒股份,185.4074,CNY,2.644,14.87,20260717 15:30:30
600096.SH,云天化,500.411,CNY,2.0968,9.457,20260717 15:31:12
600141.SH,兴发集团,348.7449,CNY,1.4283,24.2506,20260717 15:31:10
600378.SH,昊华科技,604.7518,CNY,3.3457,38.5746,20260717 15:31:01
603379.SH,三美股份,364.3339,CNY,4.6187,16.8172,20260717 15:30:51
