date,open,close,low,high,vol,amt
2025-07-01,47.45,46.51,46.39,47.65,62972,29437.91
2025-07-02,46.28,46.13,45.87,46.73,47901,22141.7
2025-07-03,45.91,46.83,45.91,47.21,57396,26794.46
2025-07-04,46.62,47.09,46.46,47.5,61782,29028.26
2025-07-07,46.7,45.89,45.86,46.76,49854,22996.43
2025-07-08,45.7,46.29,45.68,46.49,37399,17300.83
2025-07-09,46.3,45.86,45.74,46.54,41029,18925.19
2025-07-10,45.86,46.5,45.82,47.23,66778,31206.2
2025-07-11,46.6,46.7,46.41,47.1,58465,27362.38
2025-07-14,46.75,46.9,46.51,47.08,39687,18586.32
2025-07-15,46.85,47.69,46.75,48.29,84245,40153.79
2025-07-16,47.84,48.49,47.84,49.5,75773,36868.82
2025-07-17,48.61,48.11,47.75,48.75,53106,25497.88
2025-07-18,48.0,48.65,47.9,48.73,48388,23438.36
2025-07-21,48.94,49.24,48.43,49.49,74688,36554.61
2025-07-22,49.6,49.43,48.65,49.69,87775,43083.7
2025-07-23,50.0,49.39,49.31,50.82,111079,55470.52
2025-07-24,49.24,52.29,49.15,53.14,174638,89938.75
2025-07-25,52.67,53.28,52.67,53.96,117203,62400.24
2025-07-28,55.9,51.49,51.01,55.95,168709,87957.23
2025-07-29,51.1,51.74,51.02,52.16,73499,37922.16
2025-07-30,51.64,50.4,50.13,51.64,93543,47446.79
2025-07-31,50.2,49.48,49.3,50.52,77766,38737.92
2025-08-01,49.0,49.18,48.99,49.75,50801,25051.76
2025-08-04,48.66,48.91,48.29,49.2,57907,28217.97
2025-08-05,48.9,50.09,48.68,50.09,66315,32859.0
2025-08-06,50.07,50.32,49.66,50.6,52077,26031.61
2025-08-07,50.36,49.81,49.47,50.55,46143,22991.05
2025-08-08,49.75,51.82,49.7,51.95,112758,57759.48
2025-08-11,51.83,51.79,51.42,52.0,53925,27874.64
2025-08-12,51.65,51.85,51.21,52.3,55030,28464.37
2025-08-13,51.98,53.23,51.87,53.53,87768,46631.74
2025-08-14,53.08,52.76,52.66,54.04,87602,46663.05
2025-08-15,52.34,54.92,52.31,55.58,117920,64151.48
2025-08-18,54.7,54.78,54.21,55.29,87383,47819.46
2025-08-19,54.7,54.13,53.58,54.88,66232,35784.47
2025-08-20,53.69,54.12,53.16,54.13,51487,27649.33
2025-08-21,53.99,54.11,53.91,54.78,49840,27070.92
2025-08-22,54.2,53.99,53.59,54.57,65966,35582.93
2025-08-25,53.98,55.17,53.93,55.88,86745,47903.73
2025-08-26,55.0,55.56,54.81,55.65,52129,28851.46
2025-08-27,55.59,53.6,53.0,56.59,94299,52045.21
2025-08-28,53.61,54.01,52.89,54.72,79036,42586.15
2025-08-29,54.03,54.36,53.52,54.96,56868,30848.61
2025-09-01,54.6,53.91,53.68,54.84,62278,33675.51
2025-09-02,53.91,53.14,52.65,54.2,56032,29816.32
2025-09-03,53.14,51.88,51.42,53.52,80904,42086.39
2025-09-04,51.86,50.38,49.92,51.99,69437,35308.32
2025-09-05,50.43,51.75,50.11,51.9,54938,28210.56
2025-09-08,51.95,52.45,51.93,52.77,54228,28380.8
2025-09-09,52.01,52.66,52.01,52.89,45146,23673.04
2025-09-10,52.58,51.95,51.67,52.66,32299,16828.17
2025-09-11,51.96,52.0,51.43,52.2,57044,29544.46
2025-09-12,52.1,51.2,51.18,52.16,62820,32421.4
2025-09-15,51.2,50.2,50.05,51.33,74901,37894.93
2025-09-16,50.49,51.27,49.55,52.35,179095,90891.97
2025-09-17,51.48,53.65,51.28,54.07,178069,93988.98
2025-09-18,53.7,54.16,53.5,55.87,199650,109228.45
2025-09-19,54.0,56.15,53.71,56.87,185367,102923.97
