date,open,close,low,high,vol,amt
2025-07-01,124.28,123.14,122.22,124.97,22444,27669.42
2025-07-02,122.2,120.05,119.0,123.13,25426,30589.1
2025-07-03,119.91,120.1,118.9,121.17,17729,21238.08
2025-07-04,121.0,119.06,117.82,121.66,24074,28739.88
2025-07-07,117.0,115.12,114.23,117.0,42862,49441.04
2025-07-08,115.32,118.79,114.66,119.29,35343,41591.21
2025-07-09,122.0,118.09,117.66,123.88,48848,59092.61
2025-07-10,116.74,118.86,116.67,119.47,28770,33909.11
2025-07-11,118.08,121.89,117.88,123.85,53533,64929.39
2025-07-14,123.49,124.72,121.99,126.0,54537,67724.91
2025-07-15,125.0,124.4,122.25,125.27,40597,50246.1
2025-07-16,124.5,126.39,123.74,129.2,57714,73099.38
2025-07-17,125.0,129.01,124.61,130.88,63789,81946.14
2025-07-18,130.3,128.89,127.6,130.97,39428,50769.55
2025-07-21,132.1,134.67,130.78,138.0,82439,110957.72
2025-07-22,133.0,130.4,130.0,133.6,59281,77816.18
2025-07-23,128.8,128.8,128.03,130.75,42124,54456.16
2025-07-24,128.88,130.29,128.88,131.67,38988,50907.78
2025-07-25,130.8,130.45,128.3,130.87,32765,42446.73
2025-07-28,132.35,129.83,129.66,133.88,38738,50782.27
2025-07-29,129.0,130.4,128.33,131.68,34906,45360.36
2025-07-30,129.99,127.8,126.54,130.2,38542,49530.32
2025-07-31,127.75,129.66,127.38,134.48,68720,90518.24
2025-08-01,129.4,127.51,126.17,131.44,40985,52524.14
2025-08-04,127.6,133.98,127.15,134.22,71890,94822.12
2025-08-05,133.98,133.99,132.04,134.58,43614,58171.64
2025-08-06,134.63,140.13,133.07,142.0,104098,144042.58
2025-08-07,141.5,138.6,136.54,141.5,60933,84181.63
2025-08-08,138.52,134.2,133.8,138.57,45184,61130.71
2025-08-11,134.55,137.0,134.21,138.48,47219,64474.27
2025-08-12,136.11,137.11,134.3,137.5,37342,50711.73
2025-08-13,137.59,138.51,135.28,138.79,50320,69073.97
2025-08-14,138.3,137.64,134.5,140.7,71724,98942.78
2025-08-15,137.52,148.31,137.02,149.47,118812,171833.7
