date,open,close,low,high,vol,amt
2025-07-01,17.95,17.73,17.64,17.96,433346,76874.1
2025-07-02,17.8,18.2,17.73,18.39,722439,131044.49
2025-07-03,18.2,18.16,18.07,18.21,300096,54436.82
2025-07-04,18.16,18.23,18.05,18.3,334471,60916.19
2025-07-07,18.25,18.35,18.1,18.38,339773,62127.87
2025-07-08,18.4,19.07,18.36,19.08,1054008,199370.66
2025-07-09,18.99,19.11,18.89,19.21,661952,126448.69
2025-07-10,19.12,18.92,18.92,19.27,636372,121212.45
2025-07-11,18.99,18.83,18.83,19.1,484332,91745.12
2025-07-14,18.83,18.74,18.7,18.95,360943,67952.48
2025-07-15,18.74,18.9,18.73,18.95,432029,81409.99
2025-07-16,18.83,18.71,18.63,18.89,327156,61164.36
2025-07-17,18.69,18.84,18.66,18.94,321020,60503.46
2025-07-18,18.88,19.01,18.71,19.07,416451,78775.23
2025-07-21,19.7,19.52,19.24,19.8,1237333,241008.03
2025-07-22,20.0,21.22,20.0,21.47,3974294,819856.12
2025-07-23,21.4,20.09,20.02,21.4,2676347,546189.5
2025-07-24,19.81,20.35,19.68,20.48,1678671,337831.44
2025-07-25,20.28,19.93,19.8,20.28,1104482,220099.5
2025-07-28,19.86,19.97,19.69,19.99,889361,176455.56
2025-07-29,19.95,20.2,19.8,20.32,945331,190496.17
2025-07-30,20.16,20.21,20.06,20.44,774550,156797.7
2025-07-31,20.2,19.94,19.85,20.33,763117,153112.89
2025-08-01,19.85,19.78,19.7,19.98,458852,90954.14
2025-08-04,19.77,19.69,19.61,19.9,445473,87833.28
2025-08-05,19.68,19.64,19.56,19.74,522180,102603.17
2025-08-06,19.71,20.02,19.64,20.05,644223,128383.73
2025-08-07,20.02,20.37,19.81,20.5,1048649,211922.3
2025-08-08,20.4,21.04,20.4,21.26,1659938,348821.91
2025-08-11,21.03,21.0,20.9,21.11,686486,144108.73
2025-08-12,20.99,20.84,20.81,21.03,482116,100726.83
2025-08-13,20.84,20.83,20.76,21.01,652742,136031.19
2025-08-14,20.83,20.9,20.71,21.25,697077,146679.33
2025-08-15,20.82,21.0,20.66,21.26,725017,152858.58
2025-08-18,21.08,20.7,20.7,21.1,943391,196678.75
2025-08-19,20.72,20.22,20.15,20.99,948609,193960.53
2025-08-20,20.28,20.85,20.2,20.85,780095,160165.28
2025-08-21,20.99,21.0,20.8,21.14,653995,137077.34
2025-08-22,21.4,21.3,21.21,21.63,965285,206395.56
2025-08-25,21.32,21.63,21.22,21.63,962677,206295.89
2025-08-26,21.63,21.54,21.4,21.71,583416,125905.72
2025-08-27,21.5,21.3,21.3,22.0,908664,196708.77
2025-08-28,21.23,21.23,20.88,21.48,805163,170894.97
2025-08-29,21.45,21.03,21.01,21.62,993788,210794.44
2025-09-01,21.2,21.16,20.9,21.48,993754,210091.3
2025-09-02,21.18,20.95,20.71,21.32,654639,137204.78
2025-09-03,20.97,20.8,20.53,21.38,578501,120629.03
2025-09-04,20.66,20.27,20.0,20.7,874030,177366.8
2025-09-05,20.31,20.67,20.21,20.85,644125,133010.3
2025-09-08,20.68,20.92,20.41,21.0,763068,158298.02
2025-09-09,20.88,21.28,20.77,21.45,852322,181325.25
2025-09-10,21.36,21.15,21.06,21.39,397835,84206.33
2025-09-11,21.06,21.21,20.87,21.21,508088,106926.8
2025-09-12,21.33,21.12,21.06,21.44,599221,127525.94
2025-09-15,21.13,20.66,20.55,21.21,703656,146681.31
2025-09-16,20.7,20.65,20.51,20.84,369600,76365.38
2025-09-17,20.56,20.97,20.53,21.07,515530,107608.98
2025-09-18,21.03,20.79,20.66,21.17,575689,120669.86
2025-09-19,20.75,21.89,20.72,21.94,1450108,314187.53
2025-09-22,21.9,21.58,21.36,21.92,646689,139344.14
