date,open,close,low,high,vol,amt
2025-07-01,72.27,70.8,70.5,72.27,56819,40268.82
2025-07-02,70.5,69.75,69.6,70.99,57444,40248.52
2025-07-03,69.58,67.93,66.46,69.58,194353,131002.65
2025-07-04,67.58,69.13,67.5,69.88,99751,68630.36
2025-07-07,68.7,68.6,68.02,69.0,52648,35974.82
2025-07-08,68.0,72.06,67.9,72.28,131470,93248.28
2025-07-09,72.41,71.03,71.03,72.84,86457,61929.32
2025-07-10,71.08,70.2,68.88,71.16,95882,67187.18
2025-07-11,70.18,71.26,70.15,72.6,95790,68499.16
2025-07-14,71.92,71.82,70.93,72.58,80673,57950.07
2025-07-15,71.85,73.52,71.5,73.52,103000,75142.72
2025-07-16,73.52,76.3,72.66,76.9,167752,126772.17
2025-07-17,76.3,76.3,75.51,76.68,74661,56835.71
2025-07-18,76.64,76.4,75.06,76.8,78604,59679.0
2025-07-21,79.57,77.59,75.56,79.93,103462,79710.18
2025-07-22,78.55,80.38,78.45,85.35,311821,254284.78
2025-07-23,80.44,79.25,77.0,80.58,147830,116458.88
2025-07-24,78.53,77.56,77.41,79.45,104276,81444.18
2025-07-25,77.24,75.63,75.2,77.7,130369,99263.46
2025-07-28,75.63,75.09,74.61,76.47,82226,61806.45
2025-07-29,75.2,75.8,74.88,76.24,81216,61381.17
2025-07-30,75.78,75.2,74.75,76.48,62654,47313.25
2025-07-31,74.84,73.6,73.32,75.13,98688,73136.67
2025-08-01,73.57,73.16,72.33,73.85,64960,47445.27
2025-08-04,72.8,73.94,72.56,74.23,62995,46288.62
2025-08-05,74.14,77.43,73.81,78.28,172231,131409.98
2025-08-06,79.38,80.11,78.57,80.89,155597,123989.15
2025-08-07,80.11,79.86,78.4,80.11,89017,70663.98
2025-08-08,75.2,78.13,75.2,79.2,185596,144042.8
2025-08-11,78.14,77.28,77.25,79.5,85553,66851.16
2025-08-12,77.27,77.03,76.29,78.2,70930,54636.72
2025-08-13,77.22,76.2,75.74,77.22,89793,68325.59
2025-08-14,76.2,75.66,75.22,76.51,65175,49477.41
2025-08-15,75.25,75.55,74.34,76.92,95207,72380.34
2025-08-18,76.16,79.5,75.31,79.83,172969,134869.48
2025-08-19,78.5,82.08,78.5,83.98,192472,157004.59
2025-08-20,81.75,83.99,81.15,84.85,130063,108420.61
2025-08-21,83.79,81.91,81.31,83.95,73936,61090.12
2025-08-22,81.96,82.69,81.96,84.67,85537,71179.71
2025-08-25,83.5,83.8,82.18,84.68,85145,71105.93
2025-08-26,84.67,86.9,83.66,87.5,146833,125998.22
2025-08-27,86.79,84.09,84.0,87.2,177321,151527.5
2025-08-28,84.1,85.15,83.5,85.3,78438,66364.72
2025-08-29,85.15,89.42,85.01,90.68,138197,122279.72
2025-09-01,90.31,91.3,88.3,91.5,91762,82463.08
2025-09-02,91.28,93.43,87.59,95.29,175808,161503.62
2025-09-03,93.49,93.43,91.57,95.6,117570,109489.38
