code,name,close,date,ytd_pct,r20_pct,r60_pct,hi52,dist_hi52_pct,lo52,dist_lo52_pct,ma20,ma60,ma120,vol20_div_vol60
601933.SH,永辉超市,3.07,2026-07-17,-34.5,-1.0,-22.3,6.04,-49.2,2.79,10.0,3.06,3.41,3.79,1.24
600415.SH,小商品城,10.59,2026-07-17,-30.6,0.5,-10.4,22.37,-52.7,9.46,11.9,10.27,11.54,12.66,0.74
