公司,代码,收盘_0717,总市值_亿,PE_TTM,PB_LF,52周高,52周低,YTD%,MA20,MA60,MA120,r20%,r60%,量比5v60,Q1营收_亿,Q1营收同比%,Q1归母_亿,Q1归母备注,Q1毛利率%,资产负债率%,角色
金山办公,688111.SH,223.5,1037.07,28.58,7.08,413.75,198.75,-26.9,218.8,234.6,258.9,3.4,-10.0,1.21,16.13,23.95,21.95,"+444.97%(含投资收益19.37亿,经调整5.80亿+32.17%)",86.59,,龙头①
科大讯飞,002230.SZ,41.12,987.74,114.46,4.37,67.4,38.97,-18.1,41.3,45.1,48.9,-3.3,-15.8,0.89,52.74,13.23,-1.7,减亏12.17%;扣非-4.30亿(-88.58%),,,龙头②
同花顺,300033.SZ,215.56,1622.39,48.57,23.21,307.07,176.32,-4.8,236.4,231.5,232.1,0.4,-12.5,0.84,10.53,40.81,2.56,+112.58%;合同负债26.56亿(环比+50.12%);经营现金流+167.75%,84.99,60.8,高成长①
中科创达,300496.SZ,56.15,259.25,56.37,2.51,89.29,51.91,-16.6,59.6,63.4,65.6,-14.7,-9.4,0.96,17.49,19.04,1.02,+10.60%,32.71,22.87,高成长②
深信服,300454.SZ,107.48,463.84,80.26,4.29,187.89,88.25,-6.6,99.8,108.8,117.9,6.2,-4.2,1.45,16.27,28.91,-0.65,减亏74.16%;扣非-0.81亿,60.33,29.19,高性价比①
恒生电子,600570.SH,20.06,379.87,28.38,3.96,40.02,18.82,-33.0,21.3,23.8,26.1,-9.8,-24.3,0.9,9.05,-11.75,1.39,+342.87%;扣非0.73亿(+625.41%);联营投资收益1.06亿,67.96,27.69,高性价比②/观察
用友网络,600588.SH,8.82,301.38,-21.9,4.37,19.01,8.75,-33.5,9.3,10.6,12.1,-9.9,-29.6,1.13,,,,2025年预亏超13亿(2026-01预告);2024年亏20.61亿,,,观察名单
中国软件,600536.SH,32.65,304.88,-883.59,8.67,55.55,26.98,-29.5,29.4,34.5,38.2,12.3,-14.0,2.58,,,,信创旗手(麒麟OS);2020年高点较年初+60.62%(德邦复盘),,,信创参照
